player,nation,position,squad,competition,age,born,90s,shotcreatingactions,shotcreatingaction_per90,sca_livepasses,sca_deadballs,sca_takeons,sca_shots,sca_foulsdrawn,sca_defaction,goalcreatingactions,gca_per90,gca_passlive,gca_deadball,gca_takeons,gca_shots,gca_foulsdrawn,gca_defaction
Armel Bella Kotchap,GER,DF,Southampton,Premier League,22,2001,3.7,2,0.54,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Raoul Bellanova,ITA,DF,Torino,Serie A,24,2000,1,1,1.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Raoul Bellanova,ITA,DF,Atalanta,Serie A,24,2000,26.7,56,2.1,45,8,2,0,1,0,11,0.41,10,1,0,0,0,0
Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,Premier League,26,1998,18.6,57,3.06,35,5,4,4,7,2,11,0.59,8,1,0,0,1,1
Héctor Bellerín,ESP,DF,Betis,La Liga,29,1995,6.4,12,1.86,11,0,1,0,0,0,2,0.31,2,0,0,0,0,0
Jude Bellingham,ENG,MF,Real Madrid,La Liga,21,2003,27.6,105,3.8,85,1,5,8,3,3,13,0.47,11,0,0,1,1,0
Jeanuël Belocian,FRA,"DF,MF",Leverkusen,Bundesliga,19,2005,0.8,1,1.34,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Andrea Belotti,ITA,FW,Como,Serie A,30,1993,6.6,14,2.13,9,0,0,3,2,0,0,0,0,0,0,0,0,0
Fran Beltrán,ESP,MF,Celta Vigo,La Liga,25,1999,26.9,43,1.6,38,0,1,4,0,0,4,0.15,4,0,0,0,0,0
Lucas Beltrán,ARG,"FW,MF",Fiorentina,Serie A,23,2001,20.7,63,2.9,55,1,1,2,2,2,9,0.41,8,0,0,0,1,0
Eliesse Ben Seghir,MAR,"MF,FW",Monaco,Ligue 1,19,2005,19.4,77,3.96,57,7,1,8,4,0,7,0.36,4,1,0,1,1,0
Carlos Benavídez,URU,MF,Alavés,La Liga,26,1998,5.4,11,2.04,9,0,1,0,0,1,3,0.56,3,0,0,0,0,0
Adrian Benedyczak,POL,"FW,MF",Parma,Serie A,23,2000,2.4,3,1.26,3,0,0,0,0,0,0,0,0,0,0,0,0,0
László Bénes,SVK,"MF,FW",Union Berlin,Bundesliga,26,1997,6.5,30,4.58,17,12,0,1,0,0,1,0.15,0,1,0,0,0,0
Iker Benito,ESP,"FW,MF",Osasuna,La Liga,21,2002,0.4,1,2.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ismaël Bennacer,ALG,MF,Milan,Serie A,26,1997,3.3,12,3.6,9,2,1,0,0,0,1,0.3,1,0,0,0,0,0
Ismaël Bennacer,ALG,MF,Marseille,Ligue 1,26,1997,7.2,25,3.48,17,4,2,1,0,1,4,0.56,2,1,0,0,0,1
Saïd Benrahma,ALG,"FW,MF",Lyon,Ligue 1,28,1995,8.2,27,3.31,17,7,3,0,0,0,6,0.74,5,0,1,0,0,0
Ramy Bensebaini,ALG,DF,Dortmund,Bundesliga,29,1995,22.5,39,1.74,33,3,0,2,0,1,10,0.45,8,1,0,0,0,1
Nabil Bentaleb,ALG,MF,Lille,Ligue 1,29,1994,3.7,4,1.09,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Bentancur,URU,MF,Tottenham,Premier League,27,1997,18.3,45,2.46,36,0,1,5,1,2,3,0.16,3,0,0,0,0,0
Daniel Bentley,ENG,GK,Wolves,Premier League,31,1993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Beraldo,BRA,DF,Paris S-G,Ligue 1,20,2003,22.3,22,0.98,22,0,0,0,0,0,3,0.13,3,0,0,0,0,0
Yuri Berchiche,ESP,DF,Athletic Club,La Liga,34,1990,22.7,40,1.76,33,3,0,1,1,2,2,0.09,2,0,0,0,0,0
Álex Berenguer,ESP,"FW,MF",Athletic Club,La Liga,29,1995,26,98,3.77,64,19,9,2,2,2,14,0.54,6,4,2,1,1,0
Sander Berge,NOR,MF,Fulham,Premier League,26,1998,24.7,48,1.94,43,1,1,1,0,2,2,0.08,2,0,0,0,0,0
Lucas Bergvall,SWE,MF,Tottenham,Premier League,18,2006,13.5,22,1.63,16,4,0,2,0,0,4,0.3,3,0,0,1,0,0
Medon Berisha,ALB,MF,Lecce,Serie A,20,2003,8,29,3.64,17,6,1,2,2,1,2,0.25,2,0,0,0,0,0
Mergim Berisha,GER,"FW,MF",Hoffenheim,Bundesliga,26,1998,3.7,5,1.35,4,0,0,1,0,0,1,0.27,1,0,0,0,0,0
Mergim Berisha,GER,FW,Augsburg,Bundesliga,26,1998,0.4,1,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Bernabe,ESP,MF,Parma,Serie A,23,2001,16.1,58,3.59,45,6,1,2,4,0,4,0.25,4,0,0,0,0,0
Marc Bernal,ESP,MF,Barcelona,La Liga,17,2007,2.7,1,0.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bernardo,BRA,DF,Bochum,Bundesliga,29,1995,19.8,22,1.11,18,1,0,2,0,1,0,0,0,0,0,0,0,0
Juan Bernat,ESP,"DF,MF",Villarreal,La Liga,31,1993,2.4,8,3.4,7,0,0,1,0,0,1,0.42,1,0,0,0,0,0
Juan Bernat,ESP,"MF,DF",Getafe,La Liga,31,1993,7.8,10,1.29,10,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Maxime Bernauer,FRA,DF,Saint-Étienne,Ligue 1,26,1998,8.5,8,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0
Antoine Bernede,FRA,MF,Hellas Verona,Serie A,25,1999,6.6,22,3.33,16,2,1,1,0,2,1,0.15,0,0,1,0,0,0
Alexander Bernhardsson,SWE,"FW,MF",Holstein Kiel,Bundesliga,25,1998,14,36,2.57,21,5,4,4,1,1,7,0.5,2,0,2,1,1,1
Victor Bernth Kristiansen,DEN,DF,Leicester City,Premier League,21,2002,27.6,42,1.52,33,6,1,0,2,0,3,0.11,3,0,0,0,0,0
