player,nation,position,squad,competition,age,born,90s,shotcreatingactions,shotcreatingaction_per90,sca_livepasses,sca_deadballs,sca_takeons,sca_shots,sca_foulsdrawn,sca_defaction,goalcreatingactions,gca_per90,gca_passlive,gca_deadball,gca_takeons,gca_shots,gca_foulsdrawn,gca_defaction
Rafael Leão,POR,FW,Milan,Serie A,25,1999,25.8,113,4.38,78,1,16,11,6,1,16,0.62,10,0,3,1,2,0
Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,33,1991,30,10,0.34,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Lees-Melou,FRA,MF,Brest,Ligue 1,31,1993,17,52,3.07,44,1,0,4,3,0,4,0.24,3,0,0,1,0,0
Jordan Lefort,FRA,DF,Angers,Ligue 1,30,1993,34,26,0.76,23,0,0,1,1,1,1,0.03,1,0,0,0,0,0
Diogo Leite,POR,DF,Union Berlin,Bundesliga,25,1999,28.3,33,1.17,25,2,1,1,4,0,3,0.11,2,0,0,0,1,0
Maxim Leitsch,GER,DF,Mainz 05,Bundesliga,26,1998,7.5,7,0.93,6,0,0,1,0,0,0,0,0,0,0,0,0,0
Florian Lejeune,FRA,DF,Rayo Vallecano,La Liga,33,1991,36.9,37,1,27,1,1,8,0,0,4,0.11,3,0,0,1,0,0
Stefan Lekovic,SRB,DF,Monza,Serie A,20,2004,4.1,6,1.47,4,0,1,0,1,0,0,0,0,0,0,0,0,0
Iñigo Lekue,ESP,DF,Athletic Club,La Liga,31,1993,8.6,16,1.86,11,3,0,1,0,1,1,0.12,0,0,0,1,0,0
Nunzio Lella,ITA,MF,Venezia,Serie A,24,2000,0.1,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thomas Lemar,FRA,MF,Atlético Madrid,La Liga,28,1995,0.9,4,4.24,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Félix Lemaréchal,FRA,"MF,FW",Strasbourg,Ligue 1,20,2003,19.8,56,2.83,48,3,3,2,0,0,6,0.3,6,0,0,0,0,0
Mario Lemina,GAB,"MF,DF",Wolves,Premier League,30,1993,15.2,26,1.71,21,0,2,2,0,1,5,0.33,5,0,0,0,0,0
Clément Lenglet,FRA,DF,Atlético Madrid,La Liga,29,1995,21.9,17,0.78,16,0,1,0,0,0,2,0.09,2,0,0,0,0,0
Bernd Leno,GER,GK,Fulham,Premier League,32,1992,38,6,0.16,6,0,0,0,0,0,2,0.05,2,0,0,0,0,0
Donovan Léon,GUF,GK,Auxerre,Ligue 1,31,1992,32,12,0.37,9,3,0,0,0,0,2,0.06,0,2,0,0,0,0
Giovanni Leoni,ITA,DF,Parma,Serie A,17,2006,13.3,3,0.23,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Esteban Lepaul,FRA,FW,Angers,Ligue 1,24,2000,18.1,22,1.22,11,0,2,7,2,0,1,0.06,1,0,0,0,0,0
Johann Lepenant,FRA,MF,Nantes,Ligue 1,21,2002,22.8,37,1.63,32,0,2,1,1,1,6,0.26,5,0,1,0,0,0
Jefferson Lerma,COL,"MF,DF",Crystal Palace,Premier League,29,1994,25.3,46,1.82,37,5,0,3,0,1,3,0.12,3,0,0,0,0,0
Louis Leroux,FRA,"MF,DF",Nantes,Ligue 1,18,2006,9.1,30,3.31,22,0,3,1,1,3,3,0.33,3,0,0,0,0,0
Robert Lewandowski,POL,FW,Barcelona,La Liga,35,1988,29.6,50,1.69,33,0,4,8,5,0,3,0.1,2,0,0,1,0,0
Jamie Leweling,GER,"MF,FW",Stuttgart,Bundesliga,23,2001,18.5,52,2.82,37,0,8,3,4,0,9,0.49,3,0,1,3,2,0
Rico Lewis,ENG,"DF,MF",Manchester City,Premier League,19,2004,21,31,1.47,30,0,0,0,1,0,3,0.14,3,0,0,0,0,0
Keane Lewis-Potter,ENG,"DF,FW",Brentford,Premier League,23,2001,34.4,71,2.07,56,0,5,3,6,1,8,0.23,6,0,0,0,2,0
Myles Lewis-Skelly,ENG,DF,Arsenal,Premier League,17,2006,15.2,29,1.91,21,0,1,1,6,0,0,0,0,0,0,0,0,0
Ben Lhassine Kone,CIV,MF,Como,Serie A,24,2000,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattia Liberali,ITA,MF,Milan,Serie A,17,2007,0.7,1,1.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,28,1996,30.8,26,0.84,20,4,0,0,1,1,2,0.06,1,1,0,0,0,0
Matthijs de Ligt,NED,DF,Manchester Utd,Premier League,24,1999,23.6,14,0.59,12,0,0,2,0,0,1,0.04,1,0,0,0,0,0
Pedro Lima,BRA,DF,Wolves,Premier League,18,2006,0.8,4,5.14,2,0,0,0,0,2,0,0,0,0,0,0,0,0
Victor Lindelöf,SWE,DF,Manchester Utd,Premier League,30,1994,7.8,4,0.51,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesper Lindstrøm,DEN,FW,Everton,Premier League,24,2000,13.8,46,3.35,30,7,2,3,3,1,1,0.07,1,0,0,0,0,0
Karol Linetty,POL,MF,Torino,Serie A,29,1995,17.1,24,1.4,20,0,2,1,0,1,2,0.12,1,0,0,1,0,0
Samuel Lino,BRA,"MF,DF",Atlético Madrid,La Liga,24,1999,17.2,49,2.84,39,0,3,4,3,0,6,0.35,4,0,0,1,1,0
Pol Lirola,ESP,DF,Marseille,Ligue 1,26,1997,7.6,16,2.12,13,2,0,1,0,0,2,0.26,2,0,0,0,0,0
Dailon Livramento,CPV,"FW,MF",Hellas Verona,Serie A,23,2001,10.4,19,1.82,12,0,4,1,1,1,4,0.38,2,0,1,1,0,0
Valentino Livramento,ENG,DF,Newcastle Utd,Premier League,21,2002,31.6,45,1.43,43,0,0,1,1,0,2,0.06,2,0,0,0,0,0
Marin Ljubicic,CRO,"FW,MF",Union Berlin,Bundesliga,22,2002,3.1,9,2.88,5,1,0,0,3,0,3,0.96,2,0,0,0,1,0
Javier Llabrés,ESP,FW,Mallorca,La Liga,21,2002,0.6,3,4.74,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Diego Llorente,ESP,DF,Betis,La Liga,30,1993,28,15,0.54,12,0,0,1,1,1,2,0.07,1,0,0,0,0,1
Marcos Llorente,ESP,"DF,MF",Atlético Madrid,La Liga,29,1995,27.9,56,2.01,50,2,1,2,1,0,12,0.43,11,0,0,0,1,0
Gautier Lloris,FRA,DF,Le Havre,Ligue 1,29,1995,30.8,21,0.68,17,0,0,4,0,0,3,0.1,2,0,0,1,0,0
Giovani Lo Celso,ARG,"MF,FW",Betis,La Liga,28,1996,16.2,93,5.74,67,19,3,0,4,0,9,0.56,6,1,2,0,0,0
Stanislav Lobotka,SVK,MF,Napoli,Serie A,29,1994,29.3,54,1.84,47,4,0,2,0,1,6,0.2,5,1,0,0,0,0
Manuel Locatelli,ITA,MF,Juventus,Serie A,26,1998,31.4,98,3.13,85,5,1,3,2,2,8,0.26,6,1,0,0,0,1
Bradley Locko,FRA,DF,Brest,Ligue 1,22,2002,1.1,1,0.93,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Loftus-Cheek,ENG,MF,Milan,Serie A,28,1996,11.5,34,2.95,27,0,3,1,3,0,2,0.17,1,0,0,0,1,0
Elysée Logbo,FRA,FW,Le Havre,Ligue 1,20,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enzo Loiodice,FRA,MF,Las Palmas,La Liga,23,2000,7.6,13,1.71,7,4,1,0,1,0,0,0,0,0,0,0,0,0
Sean Longstaff,ENG,MF,Newcastle Utd,Premier League,26,1997,8.9,14,1.58,12,0,1,1,0,0,2,0.23,1,0,0,1,0,0
Ademola Lookman,NGA,"MF,FW",Atalanta,Serie A,26,1997,25,135,5.41,75,25,17,15,2,1,15,0.6,10,0,3,1,1,0
Anthony Lopes,POR,GK,Nantes,Ligue 1,33,1990,17.4,1,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
David López,ESP,DF,Mallorca,La Liga,21,2003,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David López,ESP,DF,Girona,La Liga,34,1989,27,24,0.89,20,0,0,4,0,0,3,0.11,1,0,0,2,0,0
Diego López,ESP,"MF,FW",Valencia,La Liga,22,2002,30.4,69,2.27,60,1,3,2,3,0,9,0.3,7,0,1,0,1,0
Fer López,,"FW,MF",Celta Vigo,La Liga,,,7.5,30,4.02,23,0,3,2,1,1,3,0.4,2,0,0,1,0,0
Fermin López,ESP,"MF,FW",Barcelona,La Liga,21,2003,13.9,57,4.1,39,5,6,4,1,2,7,0.5,7,0,0,0,0,0
Javi López,ESP,DF,Real Sociedad,La Liga,22,2002,21.5,20,0.93,16,1,1,0,2,0,2,0.09,1,0,0,0,1,0
Pau López,ESP,GK,Girona,La Liga,29,1994,0.5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto López,ESP,MF,Leganés,La Liga,24,2000,4.4,15,3.41,8,5,1,0,0,1,1,0.23,0,1,0,0,0,0
Unai López,ESP,MF,Rayo Vallecano,La Liga,28,1995,19,53,2.79,43,5,2,1,1,1,2,0.11,1,1,0,0,0,0
Iker Losada,ESP,"FW,MF",Celta Vigo,La Liga,22,2001,4,8,2.02,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Iker Losada,ESP,"MF,FW",Betis,La Liga,22,2001,3.7,8,2.14,7,0,0,1,0,0,0,0,0,0,0,0,0,0
Anthony Losilla,FRA,MF,Bochum,Bundesliga,38,1986,12.6,19,1.5,18,0,0,0,1,0,2,0.16,2,0,0,0,0,0
Jordan Lotomba,SUI,"MF,DF",Nice,Ligue 1,25,1998,0.4,2,5.14,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Louchet,FRA,"DF,MF",Nice,Ligue 1,21,2003,8.6,31,3.6,21,2,1,5,0,2,1,0.12,0,1,0,0,0,0
Sandi Lovrić,SVN,MF,Udinese,Serie A,26,1998,25.6,81,3.16,49,18,2,7,4,1,10,0.39,6,2,0,0,2,0
Pol Lozano,ESP,MF,Espanyol,La Liga,24,1999,21.6,40,1.84,32,6,0,0,0,2,2,0.09,2,0,0,0,0,0
Lorenzo Lucca,ITA,FW,Udinese,Serie A,23,2000,26.1,33,1.26,19,0,1,10,3,0,4,0.15,0,0,1,3,0,0
Jhon Lucumí,COL,DF,Bologna,Serie A,26,1998,29,34,1.17,31,0,0,2,0,1,2,0.07,2,0,0,0,0,0
Yannik Lührs,GER,DF,Dortmund,Bundesliga,20,2003,1.4,2,1.41,2,0,0,0,0,0,0,0,0,0,0,0,0,0
José Luis Gayà,ESP,DF,Valencia,La Liga,29,1995,20,39,1.95,35,1,2,1,0,0,5,0.25,4,0,1,0,0,0
José Luis Palomino,ARG,DF,Cagliari,Serie A,34,1990,12,7,0.58,7,0,0,0,0,0,1,0.08,1,0,0,0,0,0
Douglas Luiz,BRA,MF,Juventus,Serie A,26,1998,5.9,28,4.75,18,7,0,3,0,0,1,0.17,0,1,0,0,0,0
Romelu Lukaku,BEL,FW,Napoli,Serie A,31,1993,31.6,76,2.4,63,0,2,9,2,0,16,0.51,15,0,1,0,0,0
Castello Lukeba,FRA,DF,RB Leipzig,Bundesliga,21,2002,17.5,17,0.97,14,1,2,0,0,0,1,0.06,1,0,0,0,0,0
Dodi Lukebakio,BEL,FW,Sevilla,La Liga,26,1997,34.4,119,3.46,65,18,21,5,8,2,9,0.26,6,0,2,0,1,0
Saša Lukić,SRB,MF,Fulham,Premier League,27,1996,26,55,2.11,36,12,0,5,1,1,4,0.15,3,0,0,1,0,0
Milos Lukovic,SRB,"FW,MF",Strasbourg,Ligue 1,18,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Lumley,ENG,GK,Southampton,Premier League,29,1995,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Luna,COL,MF,Mallorca,La Liga,21,2003,0.2,1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Andriy Lunin,UKR,GK,Real Madrid,La Liga,25,1999,7,1,0.14,1,0,0,0,0,0,1,0.14,1,0,0,0,0,0
Massimo Luongo,AUS,MF,Ipswich Town,Premier League,31,1992,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastiano Luperto,ITA,DF,Cagliari,Serie A,27,1996,36,30,0.83,23,0,0,6,1,0,5,0.14,2,0,0,2,1,0
Zito Luvumbo,ANG,"FW,MF",Cagliari,Serie A,22,2002,17.8,35,1.96,24,1,4,3,3,0,4,0.22,4,0,0,0,0,0
Charalambos Lykogiannis,GRE,DF,Bologna,Serie A,30,1993,11.6,33,2.83,17,16,0,0,0,0,5,0.43,4,1,0,0,0,0
Senne Lynen,BEL,MF,Werder Bremen,Bundesliga,25,1999,30.4,32,1.05,28,0,1,2,0,1,6,0.2,6,0,0,0,0,0
Mathias Løvik,NOR,"DF,FW",Parma,Serie A,20,2003,1,1,0.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Othmane Maamma,MAR,"FW,MF",Montpellier,Ligue 1,18,2005,4,4,1.33,2,0,1,0,1,0,1,0.33,1,0,0,0,0,0
Ian Maatsen,NED,DF,Aston Villa,Premier League,22,2002,12.7,52,4.11,38,3,5,5,0,1,7,0.55,6,0,1,0,0,0
Alexis Mac Allister,ARG,MF,Liverpool,Premier League,25,1998,28.9,120,4.15,83,24,2,6,2,3,15,0.52,10,3,0,2,0,0
Deiver Machado,COL,"DF,MF",Lens,Ligue 1,30,1993,20.1,45,2.24,28,4,3,7,1,2,8,0.4,6,0,1,1,0,0
Lanroy Machine,FRA,FW,Angers,Ligue 1,18,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shuto Machino,JPN,"FW,MF",Holstein Kiel,Bundesliga,24,1999,21.7,74,3.41,48,19,2,3,2,0,9,0.41,8,1,0,0,0,0
Darwin Machís,VEN,"MF,FW",Valladolid,La Liga,31,1993,7.1,15,2.11,8,5,0,1,1,0,1,0.14,1,0,0,0,0,0
Yvann Macon,FRA,DF,Saint-Étienne,Ligue 1,25,1998,8.8,10,1.29,9,0,1,0,0,0,0,0,0,0,0,0,0,0
James Maddison,ENG,MF,Tottenham,Premier League,27,1996,20.1,95,4.73,66,13,7,3,6,0,18,0.9,12,2,3,1,0,0
Eros Maddy,NED,DF,Auxerre,Ligue 1,23,2001,0.2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Noni Madueke,ENG,FW,Chelsea,Premier League,22,2002,22.6,79,3.5,57,0,10,7,4,1,8,0.35,5,0,0,1,1,1
Pablo Maffeo,ESP,DF,Mallorca,La Liga,27,1997,26.3,60,2.28,39,9,5,1,5,1,4,0.15,3,1,0,0,0,0
Gabriel Magalhães,BRA,DF,Arsenal,Premier League,26,1997,26.3,35,1.33,31,0,0,3,1,0,6,0.23,4,0,0,1,1,0
Soungoutou Magassa,FRA,MF,Monaco,Ligue 1,20,2003,11.4,19,1.67,19,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Edmond-Paris Maghoma,ENG,"MF,FW",Brentford,Premier League,23,2001,1.3,4,3.03,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0
Giangiacomo Magnani,ITA,DF,Hellas Verona,Serie A,28,1995,11.8,4,0.34,2,1,0,1,0,0,0,0,0,0,0,0,0,0
Hugo Magnetti,FRA,MF,Brest,Ligue 1,26,1998,25.8,28,1.08,24,2,0,1,1,0,4,0.15,3,0,0,0,1,0
Frank Magri,CMR,"FW,MF",Toulouse,Ligue 1,24,1999,16.8,29,1.72,14,0,2,6,7,0,3,0.18,1,0,1,0,1,0
Harry Maguire,ENG,DF,Manchester Utd,Premier League,31,1993,19.5,20,1.02,14,1,0,5,0,0,0,0,0,0,0,0,0,0
Jon Magunazelaia,ESP,MF,Real Sociedad,La Liga,23,2001,0.1,1,12.86,1,0,0,0,0,0,1,12.86,1,0,0,0,0,0
Arne Maier,GER,MF,Augsburg,Bundesliga,25,1999,10.4,44,4.23,25,17,0,2,0,0,4,0.38,1,2,0,1,0,0
Mike Maignan,FRA,GK,Milan,Serie A,29,1995,36.6,6,0.16,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Mainka,GER,DF,Heidenheim,Bundesliga,29,1994,34,28,0.82,23,0,0,5,0,0,2,0.06,0,0,0,2,0,0
Kobbie Mainoo,ENG,MF,Manchester Utd,Premier League,19,2005,18.3,34,1.85,29,0,4,0,1,0,3,0.16,3,0,0,0,0,0
Ainsley Maitland-Niles,ENG,DF,Lyon,Ligue 1,26,1997,22.1,55,2.49,47,1,1,5,0,1,6,0.27,6,0,0,0,0,0
Radosław Majecki,POL,GK,Monaco,Ligue 1,24,1999,15,1,0.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovro Majer,CRO,MF,Wolfsburg,Bundesliga,26,1998,3.4,13,3.85,9,3,0,1,0,0,2,0.59,1,1,0,0,0,0
Hamidou Makalou,MLI,"FW,MF",Brest,Ligue 1,18,2006,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordy Makengo,FRA,DF,Freiburg,Bundesliga,22,2001,8.3,9,1.09,7,1,1,0,0,0,1,0.12,1,0,0,0,0,0
Antoine Makoumbou,CGO,MF,Cagliari,Serie A,26,1998,23.9,38,1.59,33,0,0,2,1,2,5,0.21,5,0,0,0,0,0
Nikola Maksimović,SRB,DF,Montpellier,Ligue 1,32,1991,6.5,8,1.24,6,2,0,0,0,0,0,0,0,0,0,0,0,0
Tyrell Malacia,NED,DF,Manchester Utd,Premier League,24,1999,1.1,2,1.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Jarzinho Malanga,GER,DF,Stuttgart,Bundesliga,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julián Malatini,ARG,DF,Werder Bremen,Bundesliga,23,2001,5,5,0.99,4,0,0,1,0,0,2,0.4,2,0,0,0,0,0
Daniel Maldini,ITA,"MF,FW",Monza,Serie A,22,2001,14.5,40,2.75,21,3,6,6,4,0,5,0.34,3,0,0,2,0,0
Daniel Maldini,ITA,"FW,MF",Atalanta,Serie A,22,2001,2.9,9,3.14,9,0,0,0,0,0,1,0.35,1,0,0,0,0,0
Youssef Maleh,MAR,MF,Empoli,Serie A,25,1998,16.8,30,1.79,26,0,1,1,2,0,2,0.12,2,0,0,0,0,0
Donyell Malen,NED,FW,Aston Villa,Premier League,25,1999,3.4,6,1.76,5,0,1,0,0,0,0,0,0,0,0,0,0,0
Donyell Malen,NED,"FW,MF",Dortmund,Bundesliga,25,1999,6.8,12,1.76,9,0,2,1,0,0,3,0.44,3,0,0,0,0,0
Ruslan Malinovskyi,UKR,"MF,FW",Genoa,Serie A,31,1993,4.3,17,3.98,11,2,0,3,1,0,2,0.47,2,0,0,0,0,0
Lennard Maloney,USA,MF,Heidenheim,Bundesliga,24,1999,8.4,7,0.83,6,0,0,1,0,0,0,0,0,0,0,0,0,0
Lennard Maloney,USA,MF,Mainz 05,Bundesliga,24,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Malouda,FRA,FW,Lille,Ligue 1,18,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,23,2000,34,9,0.26,6,3,0,0,0,0,2,0.06,1,1,0,0,0,0
Dennis Man,ROU,"FW,MF",Parma,Serie A,25,1998,22.2,80,3.61,62,8,5,3,1,1,7,0.32,5,1,0,1,0,0
Hianga Mananga Mbock,FRA,MF,Brest,Ligue 1,24,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gianluca Mancini,ITA,DF,Roma,Serie A,28,1996,34.9,41,1.17,35,0,0,4,1,1,2,0.06,2,0,0,0,0,0
Steve Mandanda,FRA,GK,Rennes,Ligue 1,39,1985,16.5,4,0.24,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Christos Mandas,GRE,GK,Lazio,Serie A,22,2001,9,2,0.22,2,0,0,0,0,0,1,0.11,1,0,0,0,0,0
Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,30,1994,10.5,7,0.67,6,0,0,0,0,1,1,0.1,0,0,0,0,0,1
Aïssa Mandi,ALG,DF,Lille,Ligue 1,32,1991,19.3,23,1.19,20,2,0,1,0,0,2,0.1,1,1,0,0,0,0
Rolando Mandragora,ITA,MF,Fiorentina,Serie A,27,1997,20.6,56,2.61,35,11,1,3,3,3,5,0.23,3,2,0,0,0,0
Mateus Mane,,MF,Wolves,Premier League,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orel Mangala,BEL,MF,Everton,Premier League,26,1998,14,24,1.72,17,1,2,3,1,0,1,0.07,0,0,0,0,1,0
Orel Mangala,BEL,MF,Lyon,Ligue 1,26,1998,0.7,3,4.03,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Manning,IRL,"DF,MF",Southampton,Premier League,28,1996,16.2,50,3.08,25,22,0,1,1,1,3,0.18,0,2,0,0,1,0
Javier Manquillo,ESP,DF,Celta Vigo,La Liga,30,1994,5.7,1,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Johan Manzambi,SUI,"FW,MF",Freiburg,Bundesliga,18,2005,3.7,13,3.49,6,0,3,2,2,0,2,0.54,2,0,0,0,0,0
Alberto Manzoni,ITA,MF,Atalanta,Serie A,19,2005,0.1,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sekou Mara,FRA,"FW,MF",Strasbourg,Ligue 1,22,2002,8.5,10,1.17,5,0,2,3,0,0,2,0.23,0,0,0,2,0,0
Alessandro Marcandalli,ITA,DF,Genoa,Serie A,21,2002,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Marcandalli,ITA,DF,Venezia,Serie A,21,2002,3.9,1,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcão,BRA,DF,Sevilla,La Liga,28,1996,6.1,2,0.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Solly March,ENG,"FW,MF",Brighton,Premier League,30,1994,1.9,7,3.77,6,1,0,0,0,0,2,1.08,2,0,0,0,0,0
Filip Marchwiński,POL,MF,Lecce,Serie A,22,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Óscar de Marcos,ESP,DF,Athletic Club,La Liga,35,1989,17.4,47,2.7,43,3,0,0,1,0,8,0.46,8,0,0,0,0,0
Alberto Marí,ESP,FW,Valencia,La Liga,23,2001,0.1,1,12.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Marí,ESP,DF,Monza,Serie A,30,1993,18.1,16,0.88,15,0,0,0,0,1,1,0.06,1,0,0,0,0,0
Pablo Marí,ESP,DF,Fiorentina,Serie A,30,1993,12.2,10,0.82,9,0,0,1,0,0,0,0,0,0,0,0,0,0
José María Giménez,URU,DF,Atlético Madrid,La Liga,29,1995,22.2,7,0.32,7,0,0,0,0,0,1,0.05,1,0,0,0,0,0
Luca Marianucci,ITA,DF,Empoli,Serie A,20,2004,11.9,12,1.01,6,2,2,2,0,0,0,0,0,0,0,0,0,0
Mirko Marić,CRO,"FW,MF",Monza,Serie A,29,1995,1.2,2,1.68,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirko Marić,CRO,FW,Venezia,Serie A,29,1995,4,9,2.27,8,0,0,1,0,0,0,0,0,0,0,0,0,0
Arkaitz Mariezkurrena,ESP,"FW,MF",Real Sociedad,La Liga,19,2005,2.7,7,2.61,4,0,2,1,0,0,1,0.37,1,0,0,0,0,0
Rafa Marín,ESP,DF,Napoli,Serie A,22,2002,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Marín,ESP,MF,Real Sociedad,La Liga,21,2003,13.8,26,1.89,22,0,2,0,2,0,2,0.15,2,0,0,0,0,0
Răzvan Marin,ROU,MF,Cagliari,Serie A,28,1996,15.6,62,3.97,34,21,1,4,1,1,2,0.13,1,1,0,0,0,0
Guillermo Maripán,CHI,DF,Torino,Serie A,30,1994,26,19,0.73,15,1,0,3,0,0,2,0.08,2,0,0,0,0,0
Mika Mármol,ESP,DF,Las Palmas,La Liga,23,2001,26.7,39,1.46,34,4,0,1,0,0,4,0.15,4,0,0,0,0,0
Omar Marmoush,EGY,"FW,MF",Manchester City,Premier League,25,1999,13.1,39,2.99,22,3,2,5,7,0,2,0.15,1,0,0,0,1,0
Omar Marmoush,EGY,FW,Eint Frankfurt,Bundesliga,25,1999,16.1,91,5.66,39,20,13,9,9,1,21,1.31,7,3,6,3,2,0
Mario Maroto,ESP,MF,Valladolid,La Liga,20,2003,0.7,2,2.81,2,0,0,0,0,0,1,1.41,1,0,0,0,0,0
Marquinhos,BRA,DF,Paris S-G,Ligue 1,30,1994,19.2,31,1.62,28,0,1,0,0,2,1,0.05,0,0,0,0,0,1
Unai Marrero,ESP,GK,Real Sociedad,La Liga,22,2001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ange Martial Tia,MLI,"MF,DF",Reims,Ligue 1,17,2006,1.9,4,2.11,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Aarón Martín,ESP,DF,Genoa,Serie A,27,1997,34.3,95,2.77,42,48,2,1,2,0,13,0.38,8,5,0,0,0,0
Carlos Martín,ESP,"FW,MF",Alavés,La Liga,22,2002,14.8,29,1.96,20,0,3,4,2,0,3,0.2,1,0,0,2,0,0
Diego Martín,ESP,FW,Las Palmas,La Liga,20,2003,0.4,2,4.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Gerard Martín,ESP,DF,Barcelona,La Liga,22,2002,11.5,27,2.34,26,0,0,0,1,0,3,0.26,3,0,0,0,0,0
Iván Martín,ESP,MF,Girona,La Liga,25,1999,22.7,56,2.47,53,0,0,2,1,0,4,0.18,3,0,0,1,0,0
Jon Martin,ESP,DF,Real Sociedad,La Liga,18,2006,10,8,0.8,6,0,0,2,0,0,1,0.1,1,0,0,0,0,0
Jonas Martin,FRA,MF,Brest,Ligue 1,34,1990,5.5,8,1.45,8,0,0,0,0,0,2,0.36,2,0,0,0,0,0
Mario Martín,ESP,MF,Valladolid,La Liga,20,2004,19.4,33,1.7,20,1,3,3,6,0,1,0.05,1,0,0,0,0,0
Gabriel Martinelli,BRA,"FW,MF",Arsenal,Premier League,23,2001,25.4,74,2.91,55,1,8,7,3,0,7,0.27,4,0,1,1,1,0
Arnau Martinez,ESP,"DF,MF",Girona,La Liga,21,2003,29.2,56,1.92,45,3,3,2,2,1,6,0.21,6,0,0,0,0,0
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,31,1992,35.5,6,0.17,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Iñigo Martínez,ESP,DF,Barcelona,La Liga,33,1991,27.7,45,1.63,38,1,1,3,2,0,9,0.33,6,1,1,0,1,0
Javi Martínez,ESP,MF,Osasuna,La Liga,24,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josep Martinez,ESP,GK,Inter,Serie A,26,1998,5,1,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lautaro Martínez,ARG,FW,Inter,Serie A,26,1997,27.5,77,2.7,58,0,2,12,4,1,8,0.28,5,0,1,2,0,0
Lisandro Martínez,ARG,DF,Manchester Utd,Premier League,26,1998,19.5,26,1.34,23,0,0,2,0,1,2,0.1,2,0,0,0,0,0
Lucas Martínez Quarta,ARG,DF,Fiorentina,Serie A,28,1996,3.9,4,1.03,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramón Martínez,ESP,DF,Sevilla,La Liga,21,2002,2.9,6,2.07,6,0,0,0,0,0,0,0,0,0,0,0,0,0
