player,nation,position,squad,competition,age,born,90s,yellow_cards,red_cards,second_yellowcards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_won%
Manuel Lazzari,ITA,DF,Lazio,Serie A,30,1993,15.6,3,0,0,12,29,1,97,10,16,0,1,0,50,5,13,27.8
Julien Le Cardinal,FRA,DF,Brest,Ligue 1,26,1997,15.3,3,0,0,12,12,0,6,33,15,0,1,1,48,29,18,61.7
Jérémy Le Douaron,FRA,FW,Brest,Ligue 1,26,1998,1.1,0,0,0,2,0,2,0,0,0,0,0,0,2,3,2,60
Enzo Le Fée,FRA,MF,Roma,Serie A,24,2000,3.5,1,0,0,6,5,0,7,5,4,0,0,0,22,2,4,33.3
Robin Le Normand,ESP,DF,Atlético Madrid,La Liga,27,1996,23.9,8,0,0,35,24,3,1,10,18,0,1,0,82,54,39,58.1
Nicola Leali,ITA,GK,Genoa,Serie A,31,1993,29,1,0,0,1,6,0,0,0,0,0,0,1,30,6,0,100
Rafael Leão,POR,FW,Milan,Serie A,25,1999,25.8,5,0,0,19,52,7,55,6,10,1,0,0,66,26,20,56.5
Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,33,1991,30,0,0,0,0,2,0,0,0,0,0,0,0,35,4,0,100
Pierre Lees-Melou,FRA,MF,Brest,Ligue 1,31,1993,17,7,0,0,32,30,0,22,12,33,0,0,0,125,4,7,36.4
Jordan Lefort,FRA,DF,Angers,Ligue 1,30,1993,34,3,0,0,14,15,1,12,32,30,0,1,0,110,40,28,58.8
Diogo Leite,POR,DF,Union Berlin,Bundesliga,25,1999,28.3,3,0,0,25,37,2,10,57,32,0,0,1,104,78,63,55.3
Maxim Leitsch,GER,DF,Mainz 05,Bundesliga,26,1998,7.5,2,0,0,10,4,0,3,10,4,0,0,0,36,19,30,38.8
Florian Lejeune,FRA,DF,Rayo Vallecano,La Liga,33,1991,36.9,8,0,0,50,19,0,8,41,28,0,3,0,156,92,60,60.5
Stefan Lekovic,SRB,DF,Monza,Serie A,20,2004,4.1,0,0,0,5,3,0,0,7,4,0,0,1,18,6,6,50
Iñigo Lekue,ESP,DF,Athletic Club,La Liga,31,1993,8.6,1,0,0,5,2,0,16,9,12,0,0,0,39,6,2,75
Nunzio Lella,ITA,MF,Venezia,Serie A,24,2000,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Thomas Lemar,FRA,MF,Atlético Madrid,La Liga,28,1995,0.9,0,0,0,1,2,0,3,0,1,0,0,0,3,0,1,0
Félix Lemaréchal,FRA,"MF,FW",Strasbourg,Ligue 1,20,2003,19.8,2,0,0,30,12,3,26,14,24,0,0,0,62,14,25,35.9
Mario Lemina,GAB,"MF,DF",Wolves,Premier League,30,1993,15.2,4,0,0,17,8,4,10,27,31,0,1,0,73,25,16,61
Clément Lenglet,FRA,DF,Atlético Madrid,La Liga,29,1995,21.9,9,0,0,29,19,2,4,22,17,0,2,0,74,37,38,49.3
Bernd Leno,GER,GK,Fulham,Premier League,32,1992,38,5,0,0,0,4,0,0,0,2,0,0,0,50,9,1,90
Donovan Léon,GUF,GK,Auxerre,Ligue 1,31,1992,32,4,0,0,1,4,0,0,0,0,0,1,0,33,7,1,87.5
Giovanni Leoni,ITA,DF,Parma,Serie A,17,2006,13.3,3,1,0,11,9,0,3,15,6,0,0,0,34,17,10,63
Esteban Lepaul,FRA,FW,Angers,Ligue 1,24,2000,18.1,2,0,0,16,17,16,15,4,6,0,0,0,45,35,47,42.7
Johann Lepenant,FRA,MF,Nantes,Ligue 1,21,2002,22.8,3,0,0,51,38,1,16,18,33,0,0,0,89,20,18,52.6
Jefferson Lerma,COL,"MF,DF",Crystal Palace,Premier League,29,1994,25.3,9,0,0,35,39,0,12,42,17,0,0,0,154,41,39,51.3
Louis Leroux,FRA,"MF,DF",Nantes,Ligue 1,18,2006,9.1,1,0,0,10,12,0,6,8,18,0,0,0,43,4,5,44.4
Robert Lewandowski,POL,FW,Barcelona,La Liga,35,1988,29.6,1,0,0,30,39,17,5,3,5,0,0,0,45,37,39,48.7
Jamie Leweling,GER,"MF,FW",Stuttgart,Bundesliga,23,2001,18.5,4,0,0,17,29,4,58,11,6,2,0,0,73,6,4,60
