player,nation,position,squad,competition,age,born,90s,yellow_cards,red_cards,second_yellowcards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_won%
Casemiro,BRA,MF,Manchester Utd,Premier League,32,1992,16.6,5,0,0,20,19,4,20,14,50,0,0,0,103,36,19,65.5
Kaelan Casey,ENG,DF,West Ham,Premier League,19,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
Matty Cash,POL,DF,Aston Villa,Premier League,26,1997,23,7,0,0,27,20,1,40,23,32,0,2,0,81,20,20,50
Eiran Cashin,IRL,DF,Brighton,Premier League,22,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7
Josué Casimir,FRA,"FW,MF",Le Havre,Ligue 1,22,2001,22.2,5,0,0,28,46,8,85,7,26,3,0,0,83,9,23,28.1
Federico Cassa,ITA,"MF,FW",Atalanta,Serie A,18,2006,0.2,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,
Cristian Cásseres Jr.,VEN,MF,Toulouse,Ligue 1,24,2000,30,11,0,0,53,46,1,80,42,61,0,0,0,172,24,17,58.5
Timothy Castagne,BEL,DF,Fulham,Premier League,28,1995,18.3,1,0,0,15,6,1,37,22,29,0,1,0,57,34,35,49.3
Valentín Castellanos,ARG,FW,Lazio,Serie A,25,1998,26.5,9,1,0,38,42,17,25,6,6,1,0,0,51,68,60,53.1
Jean-Charles Castelletto,CMR,"DF,MF",Nantes,Ligue 1,29,1995,29.1,5,1,0,34,15,0,9,25,17,0,3,1,91,51,27,65.4
Santiago Castro,ARG,FW,Bologna,Serie A,19,2004,25.5,7,0,0,49,52,9,8,3,10,0,0,1,69,37,68,35.2
Gaetano Castrovilli,ITA,MF,Monza,Serie A,27,1997,6.6,0,0,0,8,7,2,14,2,7,0,0,0,27,1,6,14.3
Gaetano Castrovilli,ITA,"MF,FW",Lazio,Serie A,27,1997,1.6,0,0,0,4,1,0,0,3,2,0,0,0,8,0,0,
Danilo Cataldi,ITA,MF,Fiorentina,Serie A,29,1994,19,1,0,0,15,20,0,21,22,16,0,0,0,114,6,5,54.5
Catena,ESP,DF,Osasuna,La Liga,29,1994,34.2,11,0,0,36,14,1,2,35,28,1,1,0,108,67,35,65.7
Maximiliano Caufriez,BEL,DF,Valencia,La Liga,27,1997,1,0,0,0,3,0,0,0,1,1,0,1,0,1,2,5,28.6
Enzo Caumont,FRA,MF,Angers,Ligue 1,20,2004,0.4,1,0,0,1,0,0,0,1,1,0,0,0,2,1,1,50
Dani Ceballos,ESP,MF,Real Madrid,La Liga,27,1996,13.5,4,0,0,13,30,0,14,14,21,0,0,0,87,2,1,66.7
Abdoulie Ceesay,GAM,FW,St. Pauli,Bundesliga,20,2004,0.7,1,0,0,2,3,0,0,0,3,0,0,0,4,0,6,0
Zeki Çelik,TUR,DF,Roma,Serie A,27,1997,25.1,5,0,0,31,10,0,42,15,37,0,1,0,75,30,26,53.6
Fabien Centonze,FRA,DF,Nantes,Ligue 1,28,1996,2.9,0,0,0,2,2,1,11,2,4,0,0,1,8,6,4,60
Alberto Cerri,ITA,FW,Como,Serie A,28,1996,1,0,0,0,3,1,2,0,0,0,0,0,0,3,4,4,50
Franco Cervi,ARG,"FW,MF",Celta Vigo,La Liga,30,1994,3,1,0,0,4,1,0,6,8,3,0,0,0,12,4,6,40
Julian Chabot,GER,DF,Stuttgart,Bundesliga,26,1998,25.2,11,1,1,35,28,5,2,38,24,0,0,0,98,78,42,65
El Chadaille Bitshiabu,FRA,DF,RB Leipzig,Bundesliga,19,2005,12.6,2,1,0,8,2,0,4,13,18,0,0,0,55,22,18,55
Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,Bundesliga,21,2002,11.3,2,0,0,5,7,1,72,10,9,0,0,0,30,16,21,43.2
Trevoh Chalobah,ENG,DF,Crystal Palace,Premier League,25,1999,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7
Trevoh Chalobah,ENG,DF,Chelsea,Premier League,25,1999,10.1,2,0,0,9,7,0,3,10,7,0,0,0,29,23,12,65.7
Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,34,1990,0.3,0,0,0,0,2,0,1,3,0,0,0,0,1,4,1,80
Conor Chaplin,ENG,"MF,FW",Ipswich Town,Premier League,27,1997,9.5,2,0,0,11,7,0,9,4,5,0,0,0,27,3,9,25
Brendan Chardonnet,FRA,DF,Brest,Ligue 1,29,1994,26.8,6,0,0,36,20,0,3,29,33,0,0,1,91,58,38,60.4
Gabriel Charpentier,CGO,FW,Parma,Serie A,25,1999,3,1,0,0,13,10,0,2,0,3,1,0,0,12,9,14,39.1
Raúl Chasco,ESP,DF,Valladolid,La Liga,20,2003,1.4,0,0,0,3,0,0,3,2,1,0,0,0,2,0,0,
Anrie Chase,JPN,DF,Stuttgart,Bundesliga,20,2004,8.2,1,0,0,12,2,0,3,9,4,0,1,0,21,17,12,58.6
Pep Chavarría,ESP,"DF,FW",Rayo Vallecano,La Liga,26,1998,28.7,3,0,0,31,25,3,79,30,36,0,1,0,114,23,30,43.4
Arthur Chaves,BRA,DF,Hoffenheim,Bundesliga,23,2001,24.3,8,0,0,38,19,1,8,37,36,0,0,0,93,67,62,51.9
Jhoanner Chávez,ECU,"DF,MF",Lens,Ligue 1,22,2002,6.6,1,0,0,10,8,2,30,6,5,0,1,0,25,7,5,58.3
Walid Cheddira,MAR,FW,Napoli,Serie A,26,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Walid Cheddira,MAR,FW,Espanyol,La Liga,26,1998,7.1,3,0,0,30,27,11,2,1,0,1,0,0,19,15,25,37.5
Chema,ESP,MF,Real Madrid,La Liga,19,2005,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50
Théo Chennahi,FRA,DF,Montpellier,Ligue 1,19,2005,2,2,0,0,3,2,0,2,2,3,0,0,0,11,1,2,33.3
Sidiki Cherif,FRA,FW,Angers,Ligue 1,17,2006,3.6,0,0,0,4,8,5,4,0,5,0,0,0,10,3,16,15.8
Rayan Cherki,FRA,"FW,MF",Lyon,Ligue 1,20,2003,22.7,3,0,0,16,34,3,118,7,12,0,0,0,83,4,8,33.3
Youssef Chermiti,POR,"FW,MF",Everton,Premier League,20,2004,0.5,1,0,0,1,1,2,1,0,0,0,0,0,0,2,1,66.7
Lucas Chevalier,FRA,GK,Lille,Ligue 1,22,2001,34,0,0,0,0,7,0,0,0,2,0,0,0,70,6,0,100
Fabio Chiarodia,ITA,DF,Gladbach,Bundesliga,19,2005,4.2,0,0,0,7,0,0,0,9,4,0,0,0,9,7,2,77.8
Julián Chicco,ARG,"MF,DF",Leganés,La Liga,26,1998,3.4,0,0,0,1,3,0,3,4,7,0,0,0,12,1,10,9.1
Leandro Chichizola,ARG,GK,Parma,Serie A,34,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
Federico Chiesa,ITA,FW,Liverpool,Premier League,26,1997,1.2,0,0,0,3,2,0,2,0,0,0,0,0,6,0,4,0
Ben Chilwell,ENG,DF,Crystal Palace,Premier League,27,1996,2.9,1,0,0,2,3,2,7,6,6,0,0,0,20,3,4,42.9
Chiquinho,POR,MF,Wolves,Premier League,24,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Chiquinho,POR,"MF,FW",Mallorca,La Liga,24,2000,1.6,2,0,0,6,8,0,9,2,0,0,0,0,10,0,5,0
Pedro Chirivella,ESP,MF,Nantes,Ligue 1,27,1997,26.1,6,0,0,25,16,0,19,19,29,0,0,0,116,10,14,41.7
Joris Chotard,FRA,MF,Montpellier,Ligue 1,22,2001,21,5,0,0,16,10,1,30,19,27,0,1,0,90,16,11,59.3
Hamza Choudhury,BAN,"MF,DF",Leicester City,Premier League,26,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,
Andreas Christensen,DEN,DF,Barcelona,La Liga,28,1996,2.8,3,0,0,5,0,0,0,4,4,0,0,0,14,11,3,78.6
Ryan Christie,SCO,MF,Bournemouth,Premier League,29,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7
Carney Chukwuemeka,ENG,MF,Dortmund,Bundesliga,20,2003,2.8,1,0,0,4,5,1,1,1,5,0,0,0,12,6,8,42.9
Samuel Chukwueze,NGA,"FW,MF",Milan,Serie A,25,1999,10.3,0,0,0,3,10,3,50,2,11,0,0,0,38,6,10,37.5
Aaron Ciammaglichella,ITA,MF,Torino,Serie A,19,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jasper Cillessen,NED,GK,Las Palmas,La Liga,35,1989,25.9,1,0,0,0,5,0,0,0,0,0,0,0,20,2,2,50
Giuseppe Ciocci,ITA,GK,Cagliari,Serie A,22,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Alessandro Circati,AUS,DF,Parma,Serie A,20,2003,6,1,0,0,4,5,0,0,3,5,0,0,0,11,17,4,81
Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,La Liga,30,1994,23.8,12,0,0,45,25,0,4,40,24,0,2,0,148,48,30,61.5
Alphadjo Cissè,ITA,"FW,MF",Hellas Verona,Serie A,17,2006,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100
Djaoui Cissé,FRA,MF,Rennes,Ligue 1,20,2004,12.5,4,0,0,25,14,0,3,13,18,0,0,0,78,4,13,23.5
Seydouba Cissé,GUI,MF,Leganés,La Liga,23,2001,27.1,3,1,0,39,25,2,10,12,37,1,1,0,154,25,38,39.7
Yoann Cissé,FRA,MF,Auxerre,Ligue 1,19,2004,0.1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,
Patrick Ciurria,ITA,"MF,DF",Monza,Serie A,29,1995,12.3,1,0,0,17,11,1,61,6,14,0,0,0,32,5,15,25
Harry Clarke,ENG,DF,Ipswich Town,Premier League,23,2001,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4
Jack Clarke,ENG,"FW,MF",Ipswich Town,Premier League,23,2000,13.1,2,0,0,15,23,3,13,7,20,0,0,0,75,7,18,28
Alexis Claude-Maurice,FRA,"MF,FW",Augsburg,Bundesliga,26,1998,23.4,4,0,0,26,42,3,21,15,26,1,0,0,72,14,23,37.8
Jonathan Clauss,FRA,"DF,MF",Nice,Ligue 1,31,1992,25.6,7,0,0,26,12,1,190,48,35,1,0,0,114,16,11,59.3
Silvi Clúa,ESP,MF,Girona,La Liga,19,2005,1.8,0,0,0,5,0,0,0,2,7,0,0,0,4,6,3,66.7
Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,Premier League,33,1991,5.4,1,0,0,2,2,0,7,3,8,0,0,0,10,1,7,12.5
Conor Coady,ENG,DF,Leicester City,Premier League,31,1993,19,3,0,0,8,2,1,0,13,9,0,2,0,62,13,22,37.1
Marcus Coco,FRA,DF,Nantes,Ligue 1,28,1996,10.6,3,2,0,30,17,0,28,11,21,0,0,0,42,17,13,56.7
Saúl Coco,EQG,DF,Torino,Serie A,25,1999,31.6,10,0,0,53,19,0,2,38,26,0,0,1,87,62,58,51.7
Séamus Coleman,IRL,DF,Everton,Premier League,35,1988,2.4,1,0,0,0,1,0,4,1,2,0,0,0,7,2,1,66.7
Nathan Collins,IRL,DF,Brentford,Premier League,23,2001,38,5,0,0,29,31,6,8,34,24,2,0,0,162,117,69,62.9
Nnamdi Collins,GER,DF,Eint Frankfurt,Bundesliga,20,2004,16.5,4,0,0,26,22,0,17,16,24,0,0,0,78,13,13,50
Toby Collyer,ENG,MF,Manchester Utd,Premier League,20,2004,2,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75
Lorenzo Colombo,ITA,"FW,MF",Empoli,Serie A,22,2002,24.8,5,1,1,46,41,6,10,2,14,0,0,0,73,53,121,30.5
Andrea Colpani,ITA,"FW,MF",Fiorentina,Serie A,25,1999,15.9,1,0,0,21,24,1,33,8,9,0,0,0,46,10,15,40
Levi Colwill,ENG,DF,Chelsea,Premier League,21,2003,35,9,0,0,45,21,5,13,33,34,0,1,0,121,82,53,60.7
Florinel Coman,ROU,"FW,MF",Cagliari,Serie A,26,1998,2.9,2,0,0,8,9,0,2,1,3,0,0,0,12,4,2,66.7
Kingsley Coman,FRA,FW,Bayern Munich,Bundesliga,28,1996,14.2,0,0,0,9,12,8,45,8,12,0,0,0,59,11,16,40.7
Eray Cömert,SUI,"DF,MF",Valladolid,La Liga,26,1998,19.8,6,0,0,18,16,0,0,24,14,0,0,0,51,18,22,45
Santi Comesaña,ESP,MF,Villarreal,La Liga,27,1996,28.4,7,0,0,37,27,1,14,19,49,0,0,0,160,32,49,39.5
Pietro Comuzzo,ITA,DF,Fiorentina,Serie A,19,2005,23.4,5,0,0,24,12,0,3,29,21,0,0,0,86,63,43,59.4
Francisco Conceição,POR,"FW,MF",Juventus,Serie A,21,2002,14.9,5,1,1,24,36,4,62,6,14,1,0,0,55,2,9,18.2
Diego Conde,ESP,GK,Villarreal,La Liga,25,1998,21.8,2,0,0,0,1,0,0,1,2,0,0,0,30,1,0,100
Tomás Conechny,ARG,"FW,MF",Alavés,La Liga,26,1998,9.4,8,0,0,28,11,5,31,6,12,0,0,0,45,23,20,53.5
Alois Confais,FRA,MF,Le Havre,Ligue 1,27,1996,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,
Sirlord Conteh,GER,"FW,MF",Heidenheim,Bundesliga,28,1996,9.9,2,0,0,8,11,4,20,1,5,0,0,0,17,16,20,44.4
Lewis Cook,ENG,"MF,DF",Bournemouth,Premier League,27,1997,33.1,8,1,0,49,10,3,132,41,42,0,1,0,187,41,34,54.7
Copete,ESP,DF,Mallorca,La Liga,24,1999,17,6,0,0,27,13,0,7,17,17,0,0,0,46,27,16,62.8
Diego Coppola,ITA,DF,Hellas Verona,Serie A,20,2003,32.5,10,0,0,44,0,0,0,72,36,0,0,0,89,133,72,64.9
Francis Coquelin,FRA,MF,Nantes,Ligue 1,33,1991,2.5,1,0,0,7,1,0,0,6,5,0,0,0,8,3,0,100
Iker Córdoba,ESP,DF,Valencia,La Liga,18,2005,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,100
Derek Cornelius,CAN,DF,Marseille,Ligue 1,26,1997,15.8,9,2,2,25,14,0,4,14,17,0,1,0,67,32,13,71.1
Maxwel Cornet,CIV,FW,Southampton,Premier League,27,1996,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100
Maxwel Cornet,CIV,"FW,MF",Genoa,Serie A,27,1996,2.7,0,0,0,0,1,1,8,2,1,0,0,0,14,1,9,10
Pierre Cornud,FRA,DF,Saint-Étienne,Ligue 1,27,1996,6.4,2,0,0,10,3,1,14,9,10,0,1,0,33,3,4,42.9
Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,29,1995,8.9,3,1,0,18,11,4,24,4,3,0,0,0,40,1,8,11.1
Joaquín Correa,ARG,"FW,MF",Inter,Serie A,29,1994,8.1,3,0,0,8,14,2,8,0,5,0,0,0,31,6,18,25
Thierry Correia,POR,DF,Valencia,La Liga,25,1999,8.5,1,0,0,15,14,0,18,4,18,0,0,0,38,4,8,33.3
Alberto costa,POR,DF,Juventus,Serie A,20,2003,4,3,0,0,8,2,0,2,4,10,0,0,0,23,5,3,62.5
Coba da Costa,ESP,"MF,FW",Getafe,La Liga,22,2002,11.2,4,0,0,10,10,0,41,8,13,0,0,0,35,19,19,50
Danny da Costa,GER,DF,Mainz 05,Bundesliga,31,1993,22.3,0,0,0,19,4,0,22,27,23,0,0,0,98,33,38,46.5
David Costa,POR,"MF,FW",Lens,Ligue 1,23,2001,3.9,0,1,0,3,4,0,15,1,0,1,0,0,10,0,2,0
Logan Costa,CPV,DF,Villarreal,La Liga,23,2001,28.7,3,0,0,19,3,2,5,21,21,1,2,0,104,46,37,55.4
Logan Costa,CPV,DF,Toulouse,Ligue 1,23,2001,1,0,0,0,0,0,0,1,2,1,0,0,0,4,4,2,66.7
Samu Costa,POR,MF,Mallorca,La Liga,23,2000,29.4,10,1,1,62,63,2,20,32,44,0,0,0,129,68,40,63
Grégoire Coudert,FRA,GK,Brest,Ligue 1,25,1999,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Vladimír Coufal,CZE,DF,West Ham,Premier League,31,1992,11.9,5,0,0,22,16,0,28,8,15,0,0,1,39,23,16,59
Lassana Coulibaly,MLI,MF,Lecce,Serie A,28,1996,29.6,3,0,0,39,44,0,13,18,29,1,1,0,146,31,41,43.1
Lasso Coulibaly,CIV,"FW,MF",Auxerre,Ligue 1,21,2002,0.5,0,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0
Mamadou Coulibaly,FRA,MF,Monaco,Ligue 1,20,2004,0.1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,
Soumaïla Coulibaly,FRA,DF,Brest,Ligue 1,20,2003,4.9,1,0,0,12,1,0,0,5,2,1,0,0,19,8,6,57.1
Tanguy Coulibaly,FRA,"FW,MF",Montpellier,Ligue 1,23,2001,16.5,4,2,1,45,21,3,21,11,24,0,1,0,70,19,23,45.2
Woyo Coulibaly,MLI,DF,Leicester City,Premier League,25,1999,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0
Woyo Coulibaly,MLI,DF,Parma,Serie A,25,1999,12,1,1,0,12,12,1,5,8,10,1,0,1,60,9,9,50
Marius Courcoul,FRA,"MF,DF",Angers,Ligue 1,17,2007,3.4,0,0,0,4,2,0,4,5,2,0,1,0,12,4,1,80
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,32,1992,30,1,0,0,0,2,0,0,1,0,0,0,1,45,8,0,100
Yan Couto,BRA,"DF,FW",Dortmund,Bundesliga,22,2002,9.9,5,0,0,12,7,0,53,10,16,0,0,0,55,1,7,12.5
Nicolas Cozza,FRA,"DF,MF",Nantes,Ligue 1,25,1999,22.8,3,1,0,14,12,2,27,25,41,1,0,0,62,15,16,48.4
Aaron Cresswell,ENG,DF,West Ham,Premier League,34,1989,9.2,3,0,0,4,2,0,36,8,7,0,0,0,36,7,7,50
Charlie Cresswell,ENG,DF,Toulouse,Ligue 1,21,2002,28.8,5,0,0,28,15,3,4,28,23,0,0,1,103,98,44,69
Bryan Cristante,ITA,MF,Roma,Serie A,29,1995,22.7,8,0,0,37,9,0,15,19,29,0,0,0,109,61,58,51.3
Domen Črnigoj,SVN,MF,Venezia,Serie A,28,1995,1.5,0,0,0,2,4,0,2,4,2,0,0,0,8,2,5,28.6
Juan Cruz Armada,ESP,DF,Osasuna,La Liga,32,1992,16.6,4,0,0,16,2,2,11,9,14,0,1,0,46,9,10,47.4
Juan Cruz,ESP,"FW,MF",Leganés,La Liga,24,2000,25.1,2,0,0,14,23,7,92,13,19,0,0,0,109,15,19,44.1
Juan Cuadrado,COL,"DF,MF",Atalanta,Serie A,36,1988,9.2,3,0,0,9,27,0,56,7,9,1,0,0,31,12,4,75
Pau Cubarsí,ESP,DF,Barcelona,La Liga,17,2007,29.1,3,0,0,24,9,0,2,16,23,0,1,0,102,62,44,58.5
Cucho,COL,FW,Betis,La Liga,25,1999,12.7,0,0,0,10,9,5,12,7,10,1,0,0,28,29,35,45.3
Marc Cucurella,ESP,DF,Chelsea,Premier League,26,1998,33.2,10,1,1,37,38,3,31,28,45,0,0,0,130,32,57,36
Jorge Cuenca,ESP,DF,Fulham,Premier League,24,1999,3.9,0,0,0,2,2,0,1,2,2,0,0,0,10,6,3,66.7
Matheus Cunha,BRA,"MF,FW",Wolves,Premier League,25,1999,28.9,4,0,0,42,71,8,142,17,22,0,1,0,125,13,29,31
Patrick Cutrone,ITA,FW,Como,Serie A,26,1998,22.7,1,0,0,23,28,20,30,5,11,1,0,0,54,23,66,25.8
Tomáš Čvančara,CZE,FW,Gladbach,Bundesliga,23,2000,9.2,5,1,1,11,6,1,15,5,1,0,0,0,23,13,16,44.8
Wylan Cyprien,FRA,MF,Parma,Serie A,29,1995,0.3,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,
Danilo D'Ambrosio,ITA,DF,Monza,Serie A,35,1988,12.2,2,1,0,18,11,3,9,15,15,0,0,0,46,16,23,41
Lucas Da Cunha,FRA,MF,Como,Serie A,23,2001,29,4,0,0,21,29,1,102,17,25,0,0,0,157,16,25,39
Samuel Dahl,SWE,"DF,MF",Roma,Serie A,24,2000,0.5,0,0,0,2,0,0,1,0,2,0,0,0,1,0,1,0
Finn Dahmen,GER,GK,Augsburg,Bundesliga,26,1998,19,0,0,0,0,1,0,0,0,0,0,0,0,33,5,0,100
Thomas Dähne,GER,GK,Holstein Kiel,Bundesliga,30,1994,9,0,0,0,1,1,0,0,0,0,0,1,0,15,6,0,100
Mahmoud Dahoud,GER,MF,Eint Frankfurt,Bundesliga,28,1996,4,2,0,0,10,2,0,4,2,4,0,0,0,20,1,2,33.3
Patson Daka,ZAM,"FW,MF",Leicester City,Premier League,25,1998,8.2,0,0,0,15,19,3,3,1,10,0,0,0,18,10,28,26.3
Ameen Al-Dakhil,BEL,DF,Stuttgart,Bundesliga,22,2002,4.8,0,1,0,4,5,0,0,9,6,0,0,0,17,8,9,47.1
Thijs Dallinga,NED,FW,Bologna,Serie A,23,2000,12.8,1,0,0,24,17,8,3,1,5,1,0,0,35,41,36,53.2
Diogo Dalot,POR,DF,Manchester Utd,Premier League,25,1999,31.3,5,0,0,40,9,4,66,37,40,0,1,0,167,38,21,64.4
Mikkel Damsgaard,DEN,"MF,FW",Brentford,Premier League,24,2000,32.3,2,0,0,18,27,6,144,27,44,0,0,0,179,12,27,30.8
Maat Daniel Caprini,ITA,FW,Fiorentina,Serie A,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
Flavius Daniliuc,AUT,DF,Hellas Verona,Serie A,23,2001,11.2,0,0,0,12,2,0,6,7,21,0,0,0,44,18,17,51.4
Danilo,BRA,"MF,FW",Nott'ham Forest,Premier League,23,2001,3.1,0,0,0,2,0,0,3,4,4,0,0,0,19,1,2,33.3
Danilo,BRA,DF,Juventus,Serie A,33,1991,6.5,2,0,0,11,1,0,3,9,4,0,1,0,24,16,7,69.6
Arnaut Danjuma,NED,FW,Villarreal,La Liga,27,1997,2.2,1,0,0,1,1,3,0,0,1,0,0,0,2,2,0,100
Arnaut Danjuma,NED,"FW,MF",Girona,La Liga,27,1997,14.8,2,0,0,16,16,14,76,2,6,0,1,0,40,1,3,25
Jayden Danns,ENG,MF,Liverpool,Premier League,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kévin Danois,FRA,MF,Auxerre,Ligue 1,20,2004,16.2,1,0,0,22,18,2,14,20,30,0,0,0,102,14,18,43.8
Kevin Danso,AUT,DF,Tottenham,Premier League,25,1998,9.4,0,0,0,9,13,0,1,6,5,0,0,0,27,21,12,63.6
Kevin Danso,AUT,DF,Lens,Ligue 1,25,1998,12,3,0,0,27,11,1,0,20,7,0,1,0,59,41,21,66.1
Dante,BRA,DF,Nice,Ligue 1,40,1983,21.8,5,1,0,19,14,0,2,34,15,0,0,0,112,41,21,66.1
Pape Daouda Diongue,SEN,"MF,FW",Strasbourg,Ligue 1,,,0.9,0,0,0,0,0,0,1,3,0,0,0,0,9,4,0,100
Mohamed Daramy,DEN,FW,Reims,Ligue 1,22,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
Bence Dárdai,HUN,MF,Wolfsburg,Bundesliga,18,2006,14.5,0,0,0,9,16,0,10,12,14,1,0,0,52,10,15,40
Sergi Darder,ESP,"MF,FW",Mallorca,La Liga,30,1993,30.5,4,0,0,21,37,3,163,16,26,0,0,0,122,13,10,56.5
Matteo Darmian,ITA,DF,Inter,Serie A,34,1989,19.8,3,0,0,26,19,5,32,10,17,0,1,1,39,13,15,46.4
Lukas Daschner,GER,"MF,FW",Bochum,Bundesliga,25,1998,4.6,0,0,0,4,2,0,19,0,2,0,0,0,17,4,8,33.3
Juan David Cabal,COL,DF,Juventus,Serie A,23,2001,5.1,0,0,0,7,10,1,7,2,4,0,0,0,20,8,3,72.7
Jonathan David,CAN,FW,Lille,Ligue 1,24,2000,28.4,4,0,0,25,36,10,4,7,8,1,0,0,66,16,42,27.6
Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,23,2000,17.3,0,0,0,8,26,3,22,13,17,0,0,0,115,9,8,52.9
Ben Davies,WAL,DF,Tottenham,Premier League,31,1993,14.8,5,0,0,17,7,0,4,12,11,0,0,0,41,52,43,54.7
Keinan Davis,ENG,FW,Udinese,Serie A,26,1998,11.8,2,0,0,24,12,8,3,1,4,0,0,0,34,37,40,48.1
Leif Davis,ENG,DF,Ipswich Town,Premier League,24,2000,30.5,5,1,0,27,31,5,161,25,27,0,2,0,113,34,23,59.6
Zuriko Davitashvili,GEO,"FW,MF",Saint-Étienne,Ligue 1,23,2001,30.9,3,0,0,20,40,5,85,14,14,2,0,0,117,14,47,23
Paweł Dawidowicz,POL,"DF,MF",Hellas Verona,Serie A,29,1995,20.5,7,1,0,36,11,0,1,20,24,0,1,0,54,33,27,55
Craig Dawson,ENG,DF,Wolves,Premier League,34,1990,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6
Kevin De Bruyne,BEL,"MF,FW",Manchester City,Premier League,33,1991,18.9,2,0,0,17,18,5,145,7,9,0,0,0,64,5,16,23.8
Bobby De Cordova-Reid,JAM,FW,Leicester City,Premier League,31,1993,8.3,2,0,0,9,9,4,15,0,4,1,0,0,29,6,14,30
Charles De Ketelaere,BEL,"MF,FW",Atalanta,Serie A,23,2001,23,1,0,0,22,39,2,56,3,9,0,0,0,78,36,38,48.6
Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,30,1994,23.4,7,0,0,19,49,0,59,6,26,0,0,0,128,4,7,36.4
Théo De Percin,MTQ,GK,Auxerre,Ligue 1,23,2001,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Mattia De Sciglio,ITA,DF,Empoli,Serie A,31,1992,8.5,0,0,0,8,5,0,7,8,13,0,0,0,27,6,2,75
Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,36,1988,11.8,1,0,0,17,8,1,23,10,6,0,0,0,26,12,16,42.9
Thibault De Smet,BEL,DF,Reims,Ligue 1,26,1998,2.1,0,0,0,1,2,0,0,4,4,0,0,0,6,1,1,50
Koni De Winter,BEL,DF,Genoa,Serie A,22,2002,23.7,6,0,0,43,14,1,4,25,19,0,2,0,114,74,34,68.5
Amar Dedić,BIH,DF,Marseille,Ligue 1,21,2002,3.5,1,0,0,7,2,0,5,3,4,0,0,0,18,7,6,53.8
Alessandro Deiola,ITA,MF,Cagliari,Serie A,28,1995,15.9,6,0,0,32,11,0,14,13,20,0,0,0,68,37,29,56.1
Romain Del Castillo,FRA,FW,Brest,Ligue 1,28,1996,14,0,0,0,11,17,0,103,6,22,0,0,0,73,8,12,40
Enrico Del Prato,ITA,DF,Parma,Serie A,24,1999,32.7,8,0,0,20,17,0,16,19,17,0,0,0,120,38,43,46.9
Thomas Delaine,FRA,DF,Strasbourg,Ligue 1,32,1992,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,
Liam Delap,ENG,FW,Ipswich Town,Premier League,21,2003,28.8,12,0,0,72,51,14,5,2,8,2,0,0,68,55,74,42.6
Fisayo Dele-Bashiru,NGA,"MF,FW",Lazio,Serie A,23,2001,10.5,0,0,0,8,4,0,7,4,6,0,0,0,48,3,13,18.8
Andy Delort,ALG,FW,Montpellier,Ligue 1,32,1991,6.7,1,0,0,11,12,10,11,0,3,0,0,0,9,27,33,45
