player,nation,position,squad,competition,age,born,matches_played,starts,min,90s,goals,assists,g+a,npg,pk,pk_att,yellowcards,redcards,xg,npxg,xag,npxg+xag,progressive_carries,progressive_passes,progressivepassses_rec,goals_per90,assist_per90,g+a_per90,npg_per90,npg+ass_per90,xg_per90,xag_per90,xg+xag_per90,npxg_per90,npxg+xag_per90
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26,1998,10,5,452,5,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1,3,12,10,0,0,0,0,0,0.18,0.02,0.2,0.18,0.2
Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,26,1998,14,13,1090,12.1,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2,18,58,43,0,0.17,0.17,0,0.17,0.06,0.11,0.17,0.06,0.17
Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23,2000,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,25,1998,33,28,2365,26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25,1999,26,14,1371,15.2,5,2,7,5,0,0,1,1,4.6,4.6,2.6,7.2,89,22,170,0.33,0.13,0.46,0.33,0.46,0.3,0.17,0.47,0.3,0.47
Mohamed Ali Cho,FRA,"FW,MF",Nice,Ligue 1,20,2004,27,21,1621,18,3,4,7,3,0,0,2,0,4,4,4,7.9,81,59,133,0.17,0.22,0.39,0.17,0.39,0.22,0.22,0.44,0.22,0.44
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
Alisson,BRA,GK,Liverpool,Premier League,31,1992,28,28,2508,27.9,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,1,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25,1999,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Allevinah,GAB,FW,Angers,Ligue 1,29,1995,28,23,1750,19.4,1,3,4,1,0,0,3,0,4.2,4.2,2.5,6.7,57,48,99,0.05,0.15,0.21,0.05,0.21,0.22,0.13,0.35,0.22,0.35
Dele Alli,ENG,MF,Como,Serie A,28,1996,1,0,9,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thiago Almada,ARG,"MF,FW",Lyon,Ligue 1,23,2001,16,9,951,10.6,1,4,5,1,0,0,3,0,2,2,2.6,4.6,38,97,50,0.09,0.38,0.47,0.09,0.47,0.19,0.25,0.44,0.19,0.44
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,La Liga,24,2000,34,24,1977,22,0,4,4,0,0,0,2,0,1.2,1.2,3.2,4.4,45,142,77,0,0.18,0.18,0,0.18,0.05,0.14,0.2,0.05,0.2
Iker Almena,ESP,"FW,DF",Girona,La Liga,20,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0,0,0.7,0.7,6,2,10,0,1.87,1.87,0,1.87,0.06,1.27,1.33,0.06,1.33
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0,0,0,0,0,0.3,0.15,0.45,0.3,0.45
Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25,1999,29,10,1112,12.4,1,1,2,1,0,0,5,0,2.1,2.1,1.3,3.5,42,12,85,0.08,0.08,0.16,0.08,0.16,0.17,0.11,0.28,0.17,0.28
Marcos Alonso,ESP,DF,Celta Vigo,La Liga,33,1990,31,29,2647,29.4,3,0,3,0,3,3,10,2,4,1.6,1.3,2.9,64,215,49,0.1,0,0.1,0,0,0.14,0.04,0.18,0.05,0.1
Giorgio Altare,ITA,DF,Venezia,Serie A,25,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23,2001,22,19,1630,18.1,0,0,0,0,0,0,6,0,0.3,0.3,0.5,0.8,23,42,69,0,0,0,0,0,0.02,0.03,0.04,0.02,0.04
Sergi Altimira,ESP,MF,Betis,La Liga,22,2001,32,22,1972,21.9,0,1,1,0,0,0,4,0,1.7,1.6,1.7,3.3,25,99,30,0,0.05,0.05,0,0.05,0.08,0.08,0.16,0.07,0.15
Olabade Aluko,,DF,Leicester City,Premier League,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edson Álvarez,MEX,MF,West Ham,Premier League,26,1997,28,20,1772,19.7,0,1,1,0,0,0,9,1,0.4,0.4,0.8,1.2,24,85,18,0,0.05,0.05,0,0.05,0.02,0.04,0.06,0.02,0.06
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21,2003,26,16,1572,17.5,4,3,7,4,0,0,6,0,2.5,2.5,1.1,3.6,74,60,171,0.23,0.17,0.4,0.23,0.4,0.14,0.07,0.21,0.14,0.21
Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,24,2000,x,30,2509,27.9,17,4,21,13,4,4,5,0,14.1,11,5.3,16.3,79,92,162,0.61,0.14,0.75,0.47,0.61,0.51,0.19,0.7,0.39,0.59
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29,1995,21,20,1781,19.8,1,0,1,1,0,0,4,0,0.5,0.5,0.2,0.7,19,105,0,0.05,0,0.05,0.05,0.05,0.02,0.01,0.04,0.02,0.04
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22,2002,12,1,236,2.6,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Will Alves,ENG,FW,Leicester City,Premier League,19,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Selim Amallah,MAR,MF,Valladolid,La Liga,27,1996,24,18,1376,15.3,3,1,4,2,1,1,6,0,3.5,2.7,1.1,3.8,24,57,27,0.2,0.07,0.26,0.13,0.2,0.23,0.07,0.3,0.18,0.25
Harry Amass,ENG,DF,Manchester Utd,Premier League,17,2007,5,4,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,9,7,23,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02
Amath,SEN,"FW,DF",Valladolid,La Liga,28,1996,13,5,375,4.2,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,10,12,29,0,0.24,0.24,0,0.24,0.09,0.13,0.21,0.09,0.21
Jordan Amavi,FRA,DF,Brest,Ligue 1,30,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,21,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21,2003,8,1,96,1.1,0,0,0,0,0,0,1,0,0,0,0.3,0.3,1,2,1,0,0,0,0,0,0,0.23,0.23,0,0.23
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26,1998,30,23,2165,24.1,1,0,1,1,0,0,5,0,1,1,0.8,1.8,32,73,77,0.04,0,0.04,0.04,0.04,0.04,0.03,0.08,0.04,0.08
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28,1996,30,27,2437,27.1,1,3,4,1,0,0,3,0,1.5,1.5,3.3,4.8,43,140,100,0.04,0.11,0.15,0.04,0.15,0.06,0.12,0.18,0.06,0.18
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,27,1996,30,30,2473,27.5,7,5,12,5,2,2,9,2,5.5,3.9,6.6,10.5,50,204,64,0.25,0.18,0.44,0.18,0.36,0.2,0.24,0.44,0.14,0.38
Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,Premier League,18,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,0,3,0,0,0,0,0,0.07,0.22,0.29,0.07,0.29
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,Ligue 1,18,2006,9,3,320,3.6,2,0,2,2,0,0,0,0,0.7,0.7,0.6,1.3,11,12,18,0.56,0,0.56,0.56,0.56,0.2,0.16,0.35,0.2,0.35
Mathis Amougou,FRA,MF,Chelsea,Premier League,18,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.8,8,36,17,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24,2000,31,29,2467,27.4,10,9,19,8,2,2,6,0,8.7,7.2,4,11.2,81,61,244,0.36,0.33,0.69,0.29,0.62,0.32,0.15,0.46,0.26,0.41
