player,nation,position,squad,competition,age,born,matches_played,starts,min,90s,goals,assists,g+a,npg,pk,pk_att,yellowcards,redcards,xg,npxg,xag,npxg+xag,progressive_carries,progressive_passes,progressivepassses_rec,goals_per90,assist_per90,g+a_per90,npg_per90,npg+ass_per90,xg_per90,xag_per90,xg+xag_per90,npxg_per90,npxg+xag_per90
David López,ESP,DF,Girona,La Liga,34,1989,29,27,2429,27,1,1,2,1,0,0,4,0,0.9,0.9,0.6,1.5,17,132,7,0.04,0.04,0.07,0.04,0.07,0.03,0.02,0.06,0.03,0.06
Diego López,ESP,"MF,FW",Valencia,La Liga,22,2002,38,35,2737,30.4,8,5,13,8,0,0,3,0,6.6,6.6,5,11.6,76,85,219,0.26,0.16,0.43,0.26,0.43,0.22,0.17,0.38,0.22,0.38
Fer López,,"FW,MF",Celta Vigo,La Liga,,,17,7,671,7.5,2,0,2,2,0,0,2,0,2.7,2.7,1.9,4.6,27,43,58,0.27,0,0.27,0.27,0.27,0.37,0.25,0.62,0.37,0.62
Fermin López,ESP,"MF,FW",Barcelona,La Liga,21,2003,28,12,1252,13.9,6,5,11,6,0,0,4,1,5.6,5.6,3.9,9.5,31,79,108,0.43,0.36,0.79,0.43,0.79,0.41,0.28,0.69,0.41,0.69
Javi López,ESP,DF,Real Sociedad,La Liga,22,2002,29,21,1936,21.5,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,36,73,64,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
Pau López,ESP,GK,Girona,La Liga,29,1994,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto López,ESP,MF,Leganés,La Liga,24,2000,13,3,396,4.4,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.4,3,20,11,0,0.23,0.23,0,0.23,0.11,0.2,0.31,0.11,0.31
Unai López,ESP,MF,Rayo Vallecano,La Liga,28,1995,32,23,1707,19,3,1,4,3,0,0,9,1,1.6,1.6,1,2.6,22,112,40,0.16,0.05,0.21,0.16,0.21,0.08,0.05,0.14,0.08,0.14
Iker Losada,ESP,"FW,MF",Celta Vigo,La Liga,22,2001,12,4,358,4,1,0,1,1,0,0,2,0,1.1,1.1,0.3,1.5,9,17,23,0.25,0,0.25,0.25,0.25,0.29,0.09,0.38,0.29,0.38
Iker Losada,ESP,"MF,FW",Betis,La Liga,22,2001,10,3,336,3.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,9,14,16,0,0,0,0,0,0.13,0.08,0.21,0.13,0.21
Anthony Losilla,FRA,MF,Bochum,Bundesliga,38,1986,21,13,1137,12.6,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,3,45,11,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
Jordan Lotomba,SUI,"MF,DF",Nice,Ligue 1,25,1998,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0
Tom Louchet,FRA,"DF,MF",Nice,Ligue 1,21,2003,22,7,775,8.6,1,0,1,1,0,0,1,0,0.8,0.8,1.2,1.9,19,36,37,0.12,0,0.12,0.12,0.12,0.09,0.14,0.22,0.09,0.22
Sandi Lovrić,SVN,MF,Udinese,Serie A,26,1998,36,31,2308,25.6,2,3,5,2,0,0,5,0,2.6,2.6,3.4,6,60,120,71,0.08,0.12,0.19,0.08,0.19,0.1,0.13,0.24,0.1,0.24
Pol Lozano,ESP,MF,Espanyol,La Liga,24,1999,30,27,1943,21.6,0,1,1,0,0,0,12,0,0.2,0.2,0.8,1,18,115,12,0,0.05,0.05,0,0.05,0.01,0.04,0.05,0.01,0.05
Lorenzo Lucca,ITA,FW,Udinese,Serie A,23,2000,33,27,2353,26.1,12,1,13,11,1,1,10,0,7.6,6.8,1.6,8.4,15,18,98,0.46,0.04,0.5,0.42,0.46,0.29,0.06,0.35,0.26,0.32
Jhon Lucumí,COL,DF,Bologna,Serie A,26,1998,32,29,2614,29,0,1,1,0,0,0,8,1,0.6,0.6,0.4,1,34,108,7,0,0.03,0.03,0,0.03,0.02,0.01,0.03,0.02,0.03
Yannik Lührs,GER,DF,Dortmund,Bundesliga,20,2003,3,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0.03,0.03,0,0.03
José Luis Gayà,ESP,DF,Valencia,La Liga,29,1995,23,22,1803,20,0,1,1,0,0,0,7,0,1,1,2.6,3.6,29,59,156,0,0.05,0.05,0,0.05,0.05,0.13,0.18,0.05,0.18
José Luis Palomino,ARG,DF,Cagliari,Serie A,34,1990,18,10,1081,12,1,0,1,1,0,0,3,0,0.5,0.5,0,0.5,4,35,1,0.08,0,0.08,0.08,0.08,0.04,0,0.04,0.04,0.04
Douglas Luiz,BRA,MF,Juventus,Serie A,26,1998,19,3,529,5.9,0,0,0,0,0,0,2,0,0.6,0.6,1,1.6,16,35,12,0,0,0,0,0,0.11,0.16,0.27,0.11,0.27
Romelu Lukaku,BEL,FW,Napoli,Serie A,31,1993,36,35,2843,31.6,14,10,24,11,3,4,4,0,13,9.8,4,13.8,31,36,219,0.44,0.32,0.76,0.35,0.66,0.41,0.13,0.54,0.31,0.44
Castello Lukeba,FRA,DF,RB Leipzig,Bundesliga,21,2002,23,18,1577,17.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,18,80,23,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04
Dodi Lukebakio,BEL,FW,Sevilla,La Liga,26,1997,38,36,3092,34.4,11,2,13,10,1,1,3,1,10.1,9.3,4.5,13.8,131,93,247,0.32,0.06,0.38,0.29,0.35,0.29,0.13,0.42,0.27,0.4
Saša Lukić,SRB,MF,Fulham,Premier League,27,1996,30,28,2344,26,0,2,2,0,0,0,12,0,1.2,1.2,2.7,3.9,39,98,33,0,0.08,0.08,0,0.08,0.04,0.11,0.15,0.04,0.15
Milos Lukovic,SRB,"FW,MF",Strasbourg,Ligue 1,18,2005,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Lumley,ENG,GK,Southampton,Premier League,29,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Luna,COL,MF,Mallorca,La Liga,21,2003,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Andriy Lunin,UKR,GK,Real Madrid,La Liga,25,1999,7,7,630,7,0,1,1,0,0,0,0,0,0,0,0.9,0.9,0,0,0,0,0.14,0.14,0,0.14,0,0.13,0.13,0,0.13
Massimo Luongo,AUS,MF,Ipswich Town,Premier League,31,1992,11,2,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
Sebastiano Luperto,ITA,DF,Cagliari,Serie A,27,1996,36,36,3240,36,1,3,4,1,0,0,4,0,2.2,2.2,1.3,3.4,22,96,11,0.03,0.08,0.11,0.03,0.11,0.06,0.04,0.1,0.06,0.1
Zito Luvumbo,ANG,"FW,MF",Cagliari,Serie A,22,2002,26,19,1606,17.8,2,2,4,2,0,0,2,0,2.1,2.1,3.1,5.2,70,31,125,0.11,0.11,0.22,0.11,0.22,0.12,0.17,0.29,0.12,0.29
Charalambos Lykogiannis,GRE,DF,Bologna,Serie A,30,1993,17,12,1048,11.6,0,4,4,0,0,0,3,0,0.2,0.2,1.6,1.8,10,49,36,0,0.34,0.34,0,0.34,0.02,0.14,0.16,0.02,0.16
Senne Lynen,BEL,MF,Werder Bremen,Bundesliga,25,1999,32,32,2733,30.4,0,1,1,0,0,0,9,0,1.1,1.1,0.6,1.7,9,91,28,0,0.03,0.03,0,0.03,0.04,0.02,0.06,0.04,0.06
Mathias Løvik,NOR,"DF,FW",Parma,Serie A,20,2003,6,0,92,1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,6,0,0,0,0,0,0.09,0.08,0.18,0.09,0.18
Othmane Maamma,MAR,"FW,MF",Montpellier,Ligue 1,18,2005,12,2,361,4,1,1,2,1,0,0,1,0,0.7,0.7,0.2,0.9,8,2,24,0.25,0.25,0.5,0.25,0.5,0.23,0.06,0.29,0.23,0.29
Ian Maatsen,NED,DF,Aston Villa,Premier League,22,2002,29,10,1139,12.7,1,2,3,1,0,0,2,0,0.9,0.9,2.7,3.6,31,50,104,0.08,0.16,0.24,0.08,0.24,0.07,0.22,0.28,0.07,0.28
Alexis Mac Allister,ARG,MF,Liverpool,Premier League,25,1998,35,30,2599,28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26
Deiver Machado,COL,"DF,MF",Lens,Ligue 1,30,1993,27,20,1805,20.1,1,4,5,1,0,0,7,2,2.3,2.3,2.1,4.3,42,45,80,0.05,0.2,0.25,0.05,0.25,0.11,0.1,0.22,0.11,0.22
Lanroy Machine,FRA,FW,Angers,Ligue 1,18,2005,2,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,1,0,0,0,0,0,0.62,0,0.62,0.62,0.62
Shuto Machino,JPN,"FW,MF",Holstein Kiel,Bundesliga,24,1999,32,23,1953,21.7,11,2,13,9,2,2,2,0,6.5,4.9,3,7.9,30,59,108,0.51,0.09,0.6,0.41,0.51,0.3,0.14,0.44,0.23,0.36
Darwin Machís,VEN,"MF,FW",Valladolid,La Liga,31,1993,18,7,639,7.1,0,1,1,0,0,0,0,0,0.9,0.9,0.5,1.4,17,19,43,0,0.14,0.14,0,0.14,0.12,0.07,0.2,0.12,0.2
Yvann Macon,FRA,DF,Saint-Étienne,Ligue 1,25,1998,12,10,790,8.8,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,25,46,40,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07
James Maddison,ENG,MF,Tottenham,Premier League,27,1996,31,21,1809,20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10,45,164,95,0.45,0.35,0.8,0.45,0.8,0.29,0.21,0.5,0.29,0.5
Eros Maddy,NED,DF,Auxerre,Ligue 1,23,2001,2,0,15,0.2,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,1,4,0,0,0,0,0,0,0.52,0.52,0,0.52
Noni Madueke,ENG,FW,Chelsea,Premier League,22,2002,32,27,2033,22.6,7,3,10,7,0,0,3,0,9.6,9.6,4.2,13.9,154,69,226,0.31,0.13,0.44,0.31,0.44,0.43,0.19,0.61,0.43,0.61
Pablo Maffeo,ESP,DF,Mallorca,La Liga,27,1997,30,28,2368,26.3,0,2,2,0,0,0,7,0,0.3,0.3,4.1,4.4,46,74,122,0,0.08,0.08,0,0.08,0.01,0.16,0.17,0.01,0.17
Gabriel Magalhães,BRA,DF,Arsenal,Premier League,26,1997,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13
Soungoutou Magassa,FRA,MF,Monaco,Ligue 1,20,2003,21,12,1025,11.4,0,1,1,0,0,0,5,1,0.5,0.5,0.9,1.4,6,63,11,0,0.09,0.09,0,0.09,0.04,0.08,0.12,0.04,0.12
Edmond-Paris Maghoma,ENG,"MF,FW",Brentford,Premier League,23,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,13,4,0,0,0,0,0,0.09,0.08,0.17,0.09,0.17
Giangiacomo Magnani,ITA,DF,Hellas Verona,Serie A,28,1995,17,11,1065,11.8,1,0,1,1,0,0,2,0,1.1,1.1,0,1.2,4,31,7,0.08,0,0.08,0.08,0.08,0.1,0,0.1,0.1,0.1
Hugo Magnetti,FRA,MF,Brest,Ligue 1,26,1998,32,27,2323,25.8,1,0,1,1,0,0,5,0,0.8,0.8,0.4,1.2,21,80,20,0.04,0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
Frank Magri,CMR,"FW,MF",Toulouse,Ligue 1,24,1999,31,17,1516,16.8,5,1,6,5,0,0,5,1,6,6,1.5,7.5,17,25,80,0.3,0.06,0.36,0.3,0.36,0.36,0.09,0.45,0.36,0.45
Harry Maguire,ENG,DF,Manchester Utd,Premier League,31,1993,27,19,1758,19.5,1,0,1,1,0,0,7,0,1.8,1.8,0.6,2.4,7,51,7,0.05,0,0.05,0.05,0.05,0.09,0.03,0.12,0.09,0.12
Jon Magunazelaia,ESP,MF,Real Sociedad,La Liga,23,2001,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arne Maier,GER,MF,Augsburg,Bundesliga,25,1999,28,7,938,10.4,0,0,0,0,0,0,0,1,1.5,1.5,1.5,3,19,44,56,0,0,0,0,0,0.15,0.14,0.29,0.15,0.29
Mike Maignan,FRA,GK,Milan,Serie A,29,1995,37,37,3294,36.6,0,0,0,0,0,0,1,0,0,0,0.8,0.8,0,4,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Patrick Mainka,GER,DF,Heidenheim,Bundesliga,29,1994,34,34,3060,34,1,1,2,1,0,0,3,0,1.9,1.9,0.3,2.3,21,102,12,0.03,0.03,0.06,0.03,0.06,0.06,0.01,0.07,0.06,0.07
Kobbie Mainoo,ENG,MF,Manchester Utd,Premier League,19,2005,25,19,1651,18.3,0,0,0,0,0,0,5,0,0.7,0.7,1.6,2.3,22,65,47,0,0,0,0,0,0.04,0.09,0.12,0.04,0.12
Ainsley Maitland-Niles,ENG,DF,Lyon,Ligue 1,26,1997,32,20,1985,22.1,1,4,5,1,0,0,1,0,2.9,2.9,3.4,6.4,33,102,110,0.05,0.18,0.23,0.05,0.23,0.13,0.16,0.29,0.13,0.29
Radosław Majecki,POL,GK,Monaco,Ligue 1,24,1999,15,15,1350,15,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lovro Majer,CRO,MF,Wolfsburg,Bundesliga,26,1998,9,3,304,3.4,2,1,3,1,1,1,1,0,1.4,0.6,1.1,1.7,8,17,10,0.59,0.3,0.89,0.3,0.59,0.41,0.31,0.72,0.18,0.49
Hamidou Makalou,MLI,"FW,MF",Brest,Ligue 1,18,2006,4,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Jordy Makengo,FRA,DF,Freiburg,Bundesliga,22,2001,19,7,745,8.3,0,0,0,0,0,0,1,0,0,0,0.2,0.2,9,15,35,0,0,0,0,0,0,0.03,0.03,0,0.03
Antoine Makoumbou,CGO,MF,Cagliari,Serie A,26,1998,33,27,2150,23.9,0,3,3,0,0,0,4,1,0.3,0.3,0.9,1.3,11,92,14,0,0.13,0.13,0,0.13,0.01,0.04,0.05,0.01,0.05
Nikola Maksimović,SRB,DF,Montpellier,Ligue 1,32,1991,7,7,581,6.5,0,0,0,0,0,0,2,0,0,0,0,0.1,1,11,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Tyrell Malacia,NED,DF,Manchester Utd,Premier League,24,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0.03,0.03,0,0.03
Jarzinho Malanga,GER,DF,Stuttgart,Bundesliga,18,2006,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Julián Malatini,ARG,DF,Werder Bremen,Bundesliga,23,2001,10,5,454,5,1,1,2,1,0,0,1,0,0.2,0.2,0.5,0.7,8,24,4,0.2,0.2,0.4,0.2,0.4,0.05,0.09,0.14,0.05,0.14
Daniel Maldini,ITA,"MF,FW",Monza,Serie A,22,2001,20,16,1306,14.5,3,0,3,3,0,0,5,0,4.8,4.8,0.9,5.7,41,34,66,0.21,0,0.21,0.21,0.21,0.33,0.06,0.39,0.33,0.39
Daniel Maldini,ITA,"FW,MF",Atalanta,Serie A,22,2001,10,2,258,2.9,3,0,3,3,0,0,0,0,1.9,1.9,0.2,2.1,12,7,30,1.05,0,1.05,1.05,1.05,0.66,0.09,0.74,0.66,0.74
Youssef Maleh,MAR,MF,Empoli,Serie A,25,1998,22,17,1510,16.8,0,1,1,0,0,0,5,1,0.9,0.9,0.9,1.8,10,72,37,0,0.06,0.06,0,0.06,0.05,0.05,0.1,0.05,0.1
Donyell Malen,NED,FW,Aston Villa,Premier League,25,1999,14,2,305,3.4,3,0,3,3,0,0,0,0,2.2,2.2,0.2,2.4,12,6,30,0.89,0,0.89,0.89,0.89,0.64,0.05,0.69,0.64,0.69
Donyell Malen,NED,"FW,MF",Dortmund,Bundesliga,25,1999,14,6,614,6.8,3,0,3,3,0,0,1,0,2.9,2.9,0.2,3.2,23,17,75,0.44,0,0.44,0.44,0.44,0.43,0.03,0.46,0.43,0.46
Ruslan Malinovskyi,UKR,"MF,FW",Genoa,Serie A,31,1993,9,4,383,4.3,0,2,2,0,0,0,2,0,0.2,0.2,1.5,1.7,3,32,10,0,0.47,0.47,0,0.47,0.06,0.35,0.41,0.06,0.41
Lennard Maloney,USA,MF,Heidenheim,Bundesliga,24,1999,11,10,760,8.4,0,0,0,0,0,0,1,0,0.3,0.3,0,0.4,1,14,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Lennard Maloney,USA,MF,Mainz 05,Bundesliga,24,1999,5,0,26,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Malouda,FRA,FW,Lille,Ligue 1,18,2005,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,23,2000,34,34,3060,34,0,0,0,0,0,0,2,0,0,0,0.1,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Man,ROU,"FW,MF",Parma,Serie A,25,1998,33,23,1995,22.2,4,4,8,4,0,0,0,0,5.5,5.5,4.2,9.7,67,60,142,0.18,0.18,0.36,0.18,0.36,0.25,0.19,0.44,0.25,0.44
Hianga Mananga Mbock,FRA,MF,Brest,Ligue 1,24,1999,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07
Gianluca Mancini,ITA,DF,Roma,Serie A,28,1996,37,36,3143,34.9,2,0,2,2,0,0,8,0,1.7,1.7,0.9,2.6,45,139,23,0.06,0,0.06,0.06,0.06,0.05,0.03,0.07,0.05,0.07
Steve Mandanda,FRA,GK,Rennes,Ligue 1,39,1985,18,17,1486,16.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0,0.01,0.01,0,0.01
Christos Mandas,GRE,GK,Lazio,Serie A,22,2001,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Reinildo Mandava,MOZ,DF,Atlético Madrid,La Liga,30,1994,19,10,941,10.5,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,14,34,15,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Aïssa Mandi,ALG,DF,Lille,Ligue 1,32,1991,24,20,1733,19.3,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.8,12,82,21,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
Rolando Mandragora,ITA,MF,Fiorentina,Serie A,27,1997,28,22,1856,20.6,4,2,6,3,1,1,7,0,2.7,1.9,4.8,6.6,11,92,34,0.19,0.1,0.29,0.15,0.24,0.12,0.22,0.35,0.09,0.31
Mateus Mane,,MF,Wolves,Premier League,,,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orel Mangala,BEL,MF,Everton,Premier League,26,1998,19,14,1261,14,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13
Orel Mangala,BEL,MF,Lyon,Ligue 1,26,1998,1,1,67,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,7,3,0,0,0,0,0,0.07,0.03,0.1,0.07,0.1
Ryan Manning,IRL,"DF,MF",Southampton,Premier League,28,1996,24,18,1462,16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,0,0.06,0.06,0,0.06,0.02,0.2,0.22,0.02,0.22
Javier Manquillo,ESP,DF,Celta Vigo,La Liga,30,1994,10,7,515,5.7,0,0,0,0,0,0,1,0,0,0,0,0,3,24,5,0,0,0,0,0,0,0,0,0,0
Johan Manzambi,SUI,"FW,MF",Freiburg,Bundesliga,18,2005,11,4,335,3.7,2,1,3,2,0,0,2,0,1.3,1.3,0.4,1.8,7,10,12,0.54,0.27,0.81,0.54,0.81,0.36,0.12,0.47,0.36,0.47
Alberto Manzoni,ITA,MF,Atalanta,Serie A,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.94,0,0.94,0.94,0.94
Sekou Mara,FRA,"FW,MF",Strasbourg,Ligue 1,22,2002,25,7,768,8.5,1,1,2,1,0,0,2,0,2,2,1,3,9,11,47,0.12,0.12,0.23,0.12,0.23,0.23,0.11,0.35,0.23,0.35
Alessandro Marcandalli,ITA,DF,Genoa,Serie A,21,2002,2,1,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alessandro Marcandalli,ITA,DF,Venezia,Serie A,21,2002,8,5,354,3.9,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,2,10,1,0,0,0,0,0,0.07,0,0.07,0.07,0.07
Marcão,BRA,DF,Sevilla,La Liga,28,1996,12,6,552,6.1,0,0,0,0,0,0,6,1,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0
Solly March,ENG,"FW,MF",Brighton,Premier League,30,1994,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20,0,0,0,0,0,0.05,0.15,0.19,0.05,0.19
Filip Marchwiński,POL,MF,Lecce,Serie A,22,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Óscar de Marcos,ESP,DF,Athletic Club,La Liga,35,1989,26,17,1564,17.4,0,4,4,0,0,0,0,0,1,1,2.6,3.6,26,102,78,0,0.23,0.23,0,0.23,0.06,0.15,0.21,0.06,0.21
Alberto Marí,ESP,FW,Valencia,La Liga,23,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Pablo Marí,ESP,DF,Monza,Serie A,30,1993,19,19,1628,18.1,0,0,0,0,0,0,4,1,0.2,0.2,0.1,0.3,5,58,1,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
Pablo Marí,ESP,DF,Fiorentina,Serie A,30,1993,13,12,1098,12.2,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,2,27,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
José María Giménez,URU,DF,Atlético Madrid,La Liga,29,1995,27,20,1999,22.2,0,1,1,0,0,0,5,0,0.4,0.4,0.2,0.7,3,64,1,0,0.05,0.05,0,0.05,0.02,0.01,0.03,0.02,0.03
Luca Marianucci,ITA,DF,Empoli,Serie A,20,2004,18,12,1069,11.9,0,0,0,0,0,0,0,1,0.6,0.6,0.2,0.8,12,28,3,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07
Mirko Marić,CRO,"FW,MF",Monza,Serie A,29,1995,8,1,106,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,3,8,0,0,0,0,0,0.15,0.04,0.19,0.15,0.19
Mirko Marić,CRO,FW,Venezia,Serie A,29,1995,10,4,356,4,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,4,9,27,0,0,0,0,0,0.15,0.01,0.16,0.15,0.16
Arkaitz Mariezkurrena,ESP,"FW,MF",Real Sociedad,La Liga,19,2005,9,1,241,2.7,2,0,2,2,0,0,1,0,1,1,0.1,1.1,3,4,12,0.75,0,0.75,0.75,0.75,0.36,0.06,0.41,0.36,0.41
Rafa Marín,ESP,DF,Napoli,Serie A,22,2002,4,1,142,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,2,5,0,0,0,0,0,0,0.14,0,0.14,0.14,0.14
Pablo Marín,ESP,MF,Real Sociedad,La Liga,21,2003,23,14,1239,13.8,1,2,3,1,0,0,3,0,1.4,1.4,1,2.4,20,45,47,0.07,0.15,0.22,0.07,0.22,0.1,0.07,0.17,0.1,0.17
Răzvan Marin,ROU,MF,Cagliari,Serie A,28,1996,33,13,1406,15.6,3,2,5,1,2,2,4,0,2.4,0.8,3.6,4.5,22,84,29,0.19,0.13,0.32,0.06,0.19,0.15,0.23,0.39,0.05,0.29
Guillermo Maripán,CHI,DF,Torino,Serie A,30,1994,28,27,2340,26,1,1,2,1,0,0,4,1,0.9,0.9,1,2,14,96,9,0.04,0.04,0.08,0.04,0.08,0.04,0.04,0.08,0.04,0.08
Mika Mármol,ESP,DF,Las Palmas,La Liga,23,2001,30,27,2399,26.7,0,1,1,0,0,0,5,0,0.4,0.4,1.5,1.9,33,106,62,0,0.04,0.04,0,0.04,0.02,0.06,0.07,0.02,0.07
Omar Marmoush,EGY,"FW,MF",Manchester City,Premier League,25,1999,16,14,1175,13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,0.54,0,0.54,0.54,0.54,0.42,0.21,0.64,0.42,0.64
Omar Marmoush,EGY,FW,Eint Frankfurt,Bundesliga,25,1999,17,17,1448,16.1,15,9,24,13,2,2,2,0,8.8,7.3,6.2,13.5,73,50,125,0.93,0.56,1.49,0.81,1.37,0.55,0.39,0.94,0.45,0.84
Mario Maroto,ESP,MF,Valladolid,La Liga,20,2003,2,0,64,0.7,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,1.41,1.41,0,1.41,0.02,0.09,0.12,0.02,0.12
Marquinhos,BRA,DF,Paris S-G,Ligue 1,30,1994,22,19,1725,19.2,2,0,2,2,0,0,3,0,1.1,1.1,0.8,1.9,29,151,4,0.1,0,0.1,0.1,0.1,0.06,0.04,0.1,0.06,0.1
Unai Marrero,ESP,GK,Real Sociedad,La Liga,22,2001,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ange Martial Tia,MLI,"MF,DF",Reims,Ligue 1,17,2006,6,2,171,1.9,0,0,0,0,0,0,0,0,1.3,1.3,0,1.3,2,8,9,0,0,0,0,0,0.68,0.01,0.7,0.68,0.7
Aarón Martín,ESP,DF,Genoa,Serie A,27,1997,36,35,3085,34.3,0,8,8,0,0,0,5,0,0.9,0.9,5.5,6.4,50,90,108,0,0.23,0.23,0,0.23,0.03,0.16,0.19,0.03,0.19
Carlos Martín,ESP,"FW,MF",Alavés,La Liga,22,2002,26,16,1333,14.8,2,2,4,2,0,0,3,0,2.3,2.3,2.7,5,13,21,67,0.14,0.14,0.27,0.14,0.27,0.15,0.19,0.34,0.15,0.34
Diego Martín,ESP,FW,Las Palmas,La Liga,20,2003,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0.08,0,0.08,0.08,0.08
Gerard Martín,ESP,DF,Barcelona,La Liga,22,2002,28,11,1038,11.5,1,3,4,1,0,0,2,0,0.5,0.5,1.1,1.6,10,40,122,0.09,0.26,0.35,0.09,0.35,0.04,0.1,0.14,0.04,0.14
