player,nation,position,squad,competition,age,born,90s,goals,shots_total,shots_ontarget,shots_ontarget%,shots_total_per90,shots_ontarget_per90,goals_pershot,goals_pershot_ontarget,avg_shotdistance,shots_fromfk,pk_made,pk_attempted,xg,npxg,npxg_pershot,goals-xg,npg-npxg
Sergi Altimira,ESP,MF,Betis,La Liga,22,2001,21.9,0,21,4,19,0.96,0.18,0,0,21.2,0,0,0,1.7,1.6,0.08,-1.7,-1.6
Olabade Aluko,,DF,Leicester City,Premier League,,,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Edson Álvarez,MEX,MF,West Ham,Premier League,26,1997,19.7,0,12,1,8.3,0.61,0.05,0,0,26.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21,2003,17.5,4,25,9,36,1.43,0.52,0.16,0.44,16.2,1,0,0,2.5,2.5,0.1,1.5,1.5
Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,24,2000,27.9,17,70,36,51.4,2.51,1.29,0.19,0.36,18.3,5,4,4,14.1,11,0.16,2.9,2
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29,1995,19.8,1,9,2,22.2,0.45,0.1,0.11,0.5,15.5,0,0,0,0.5,0.5,0.05,0.5,0.5
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22,2002,2.6,0,1,0,0,0.38,0,0,,14.8,0,0,0,0,0,0.03,0,0
Will Alves,ENG,FW,Leicester City,Premier League,19,2005,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Selim Amallah,MAR,MF,Valladolid,La Liga,27,1996,15.3,3,21,7,33.3,1.37,0.46,0.1,0.29,22.9,1,1,1,3.5,2.7,0.13,-0.5,-0.7
Harry Amass,ENG,DF,Manchester Utd,Premier League,17,2007,3.8,0,3,0,0,0.78,0,0,,21.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Amath,SEN,"FW,DF",Valladolid,La Liga,28,1996,4.2,0,5,1,20,1.2,0.24,0,0,13.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Jordan Amavi,FRA,DF,Brest,Ligue 1,30,1994,8.8,0,8,3,37.5,0.91,0.34,0,0,25,1,0,0,0.3,0.3,0.03,-0.3,-0.3
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21,2003,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26,1998,24.1,1,7,4,57.1,0.29,0.17,0.14,0.25,14.9,0,0,0,1,1,0.14,0,0
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28,1996,27.1,1,13,4,30.8,0.48,0.15,0.08,0.25,18.8,2,0,0,1.5,1.5,0.12,-0.5,-0.5
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,27,1996,27.5,7,60,24,40,2.18,0.87,0.08,0.21,24.7,10,2,2,5.5,3.9,0.07,1.5,1.1
Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,Premier League,18,2006,0.3,0,1,0,0,3.21,0,0,,20.7,0,0,0,0,0,0.02,0,0
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,Ligue 1,18,2006,3.6,2,9,7,77.8,2.53,1.97,0.22,0.29,17,0,0,0,0.7,0.7,0.08,1.3,1.3
Mathis Amougou,FRA,MF,Chelsea,Premier League,18,2006,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18,2006,9.5,0,7,1,14.3,0.73,0.1,0,0,18.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24,2000,27.4,10,73,25,34.2,2.66,0.91,0.11,0.32,16.8,0,2,2,8.7,7.2,0.1,1.3,0.8
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,27,1996,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28,1996,1,0,1,1,100,1,1,0,0,25.2,0,0,0,0,0,0.04,0,0
Joachim Andersen,DEN,DF,Fulham,Premier League,28,1996,28.7,0,19,4,21.1,0.66,0.14,0,0,15.1,0,0,0,1,1,0.05,-1,-1
Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,21,2002,30.3,2,40,7,17.5,1.32,0.23,0.05,0.29,18.8,0,0,0,2.1,2.1,0.05,-0.1,-0.1
André,BRA,MF,Wolves,Premier League,23,2001,27.5,0,10,1,10,0.36,0.04,0,0,25.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Benjamin André,FRA,MF,Lille,Ligue 1,33,1990,29.9,0,16,4,25,0.53,0.13,0,0,15.6,0,0,0,1.4,1.4,0.09,-1.4,-1.4
Marcos André,BRA,FW,Valladolid,La Liga,27,1996,13.2,1,22,2,9.1,1.67,0.15,0.05,0.5,14,0,0,0,2.7,2.7,0.12,-1.7,-1.7
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,29,1994,17.8,2,21,5,23.8,1.18,0.28,0.1,0.4,21.9,0,0,0,1.3,1.3,0.06,0.7,0.7
Angeliño,ESP,DF,Roma,Serie A,27,1997,35.3,2,24,6,25,0.68,0.17,0.08,0.33,20,0,0,0,1.4,1.4,0.06,0.6,0.6
Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19,2005,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Faustino Anjorin,ENG,MF,Empoli,Serie A,22,2001,12.4,2,23,7,30.4,1.86,0.57,0.09,0.29,25.6,1,0,0,0.9,0.9,0.04,1.1,1.1
Waldemar Anton,GER,DF,Dortmund,Bundesliga,28,1996,21.7,2,19,3,15.8,0.88,0.14,0.11,0.67,13.5,0,0,0,1.7,1.7,0.09,0.3,0.3
Leandro Antonetti,PUR,FW,Sevilla,La Liga,21,2003,0.3,0,1,1,100,3.21,3.21,0,0,26.9,0,0,0,0.1,0.1,0.14,-0.1,-0.1
Kyllian Antonio,FRA,"DF,MF",Lens,Ligue 1,16,2008,1.5,0,1,0,0,0.65,0,0,,18.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Michail Antonio,JAM,FW,West Ham,Premier League,34,1990,9.3,1,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2
