player,nation,position,squad,competition,age,born,90s,passes_attempted,liveball_passes,deadball_passes,fk_passes,throughball_passes,switches,crosses,throwins,cornerkicks,inswingingcorners,outswingingcorners,straightcorners,totalpasscomp,passes_offside,passes_blocked
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22,2002,0.5,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29,1995,24.7,1369,1280,85,43,1,5,12,14,0,0,0,0,1193,4,10
Chuba Akpom,ENG,FW,Lille,Ligue 1,28,1995,7.1,99,87,11,0,1,0,1,0,0,0,0,0,67,1,8
David Alaba,AUT,DF,Real Madrid,La Liga,32,1992,3.5,228,214,13,4,0,2,3,2,0,0,0,0,206,1,2
Ibrahim Alani,NGA,MF,Valladolid,La Liga,18,2006,1.8,85,82,2,0,0,1,0,1,0,0,0,0,71,1,0
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34,1990,0.7,29,28,1,0,0,0,0,0,0,0,0,0,15,0,0
Raúl Albiol,ESP,DF,Villarreal,La Liga,38,1985,13.2,813,778,33,25,1,4,0,0,0,0,0,0,727,2,3
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21,2002,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0
Carlos Alcaraz,ARG,"FW,MF",Everton,Premier League,21,2002,8.5,278,265,12,2,1,2,11,6,3,2,1,0,224,1,10
Omar Alderete,PAR,DF,Getafe,La Liga,27,1996,33,1106,1026,67,61,3,29,6,0,0,0,0,0,724,13,14
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26,1998,5,117,105,12,6,0,0,6,1,1,1,0,0,93,0,1
Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,26,1998,12.1,472,450,22,8,6,0,31,2,11,5,5,0,359,0,21
Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23,2000,1,50,33,17,4,0,0,0,0,0,0,0,0,28,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,25,1998,26.3,1971,1651,310,63,12,32,153,192,55,34,12,1,1448,10,36
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25,1999,15.2,377,370,4,1,1,3,40,3,0,0,0,0,263,3,27
Mohamed Ali Cho,FRA,"FW,MF",Nice,Ligue 1,20,2004,18,481,456,23,3,9,2,51,0,9,4,4,0,338,2,23
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23,2001,0.8,20,18,2,1,0,0,3,0,1,1,0,0,16,0,0
Alisson,BRA,GK,Liverpool,Premier League,31,1992,27.9,959,836,121,41,1,1,0,0,0,0,0,0,794,2,1
Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25,1999,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1
Jim Allevinah,GAB,FW,Angers,Ligue 1,29,1995,19.4,483,472,9,1,2,1,34,4,2,0,2,0,363,2,13
Dele Alli,ENG,MF,Como,Serie A,28,1996,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Thiago Almada,ARG,"MF,FW",Lyon,Ligue 1,23,2001,10.6,748,668,71,28,5,8,47,6,35,20,7,0,635,9,6
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,La Liga,24,2000,22,947,854,85,27,7,7,67,10,34,8,18,0,798,8,17
Iker Almena,ESP,"FW,DF",Girona,La Liga,20,2004,0.5,32,30,2,0,0,0,4,2,0,0,0,0,23,0,2
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30,1994,1.7,66,64,1,0,1,0,0,1,0,0,0,0,54,1,2
Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25,1999,12.4,297,290,6,1,0,0,11,5,0,0,0,0,215,1,11
Marcos Alonso,ESP,DF,Celta Vigo,La Liga,33,1990,29.4,2397,2236,158,81,2,25,42,54,15,10,3,0,2139,3,24
Giorgio Altare,ITA,DF,Venezia,Serie A,25,1998,8.4,389,319,68,13,0,2,7,55,0,0,0,0,283,2,2
Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23,2001,18.1,615,516,97,4,2,3,28,93,0,0,0,0,483,2,11
Sergi Altimira,ESP,MF,Betis,La Liga,22,2001,21.9,1258,1231,26,22,4,16,5,3,0,0,0,0,1123,1,17
Olabade Aluko,,DF,Leicester City,Premier League,,,0,5,4,1,1,0,0,0,0,0,0,0,0,3,0,0
Edson Álvarez,MEX,MF,West Ham,Premier League,26,1997,19.7,1003,980,16,12,3,12,6,3,0,0,0,0,861,7,10
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21,2003,17.5,1013,856,151,16,0,2,31,125,10,4,1,0,799,6,33
Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,24,2000,27.9,966,879,85,8,14,12,69,6,50,21,15,0,717,2,31
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29,1995,19.8,1182,1126,52,40,1,16,3,2,0,0,0,0,994,4,13
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22,2002,2.6,91,90,0,0,0,0,0,0,0,0,0,0,68,1,3
Will Alves,ENG,FW,Leicester City,Premier League,19,2005,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Selim Amallah,MAR,MF,Valladolid,La Liga,27,1996,15.3,406,352,48,18,3,7,31,1,18,8,8,0,318,6,9
Harry Amass,ENG,DF,Manchester Utd,Premier League,17,2007,3.8,181,150,31,2,0,0,9,29,0,0,0,0,149,0,3
Amath,SEN,"FW,DF",Valladolid,La Liga,28,1996,4.2,112,106,6,1,1,2,7,5,0,0,0,0,86,0,7
Jordan Amavi,FRA,DF,Brest,Ligue 1,30,1994,8.8,526,428,96,9,0,2,15,87,0,0,0,0,386,2,13
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21,2003,1.1,69,66,3,1,0,3,0,1,0,0,0,0,58,0,2
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26,1998,24.1,921,719,200,14,4,1,37,184,0,0,0,0,738,2,24
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28,1996,27.1,1902,1691,207,44,1,0,37,162,0,0,0,0,1665,4,32
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,27,1996,27.5,1781,1508,259,120,10,14,166,10,113,40,55,1,1371,14,36
Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,Premier League,18,2006,0.3,9,8,1,0,0,0,2,0,1,0,0,0,8,0,0
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,Ligue 1,18,2006,3.6,123,116,7,1,1,0,6,3,3,1,0,0,106,0,3
Mathis Amougou,FRA,MF,Chelsea,Premier League,18,2006,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18,2006,9.5,301,290,7,4,1,1,1,1,0,0,0,0,232,4,4
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24,2000,27.4,757,714,38,0,9,14,35,16,0,0,0,0,532,5,42
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,27,1996,2,133,122,11,10,0,4,3,1,0,0,0,0,112,0,0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28,1996,1,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0
Joachim Andersen,DEN,DF,Fulham,Premier League,28,1996,28.7,2000,1891,102,81,0,35,12,9,0,0,0,0,1654,7,8
Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,21,2002,30.3,1386,1292,85,26,7,4,86,2,48,17,28,0,1085,9,35
André,BRA,MF,Wolves,Premier League,23,2001,27.5,1342,1308,32,28,5,15,0,2,0,0,0,0,1247,2,14
Benjamin André,FRA,MF,Lille,Ligue 1,33,1990,29.9,1911,1845,57,53,1,20,16,4,0,0,0,0,1586,9,31
Marcos André,BRA,FW,Valladolid,La Liga,27,1996,13.2,210,185,22,2,3,6,1,1,0,0,0,0,138,3,5
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,29,1994,17.8,978,952,24,15,2,7,12,4,0,0,0,0,865,2,6
Angeliño,ESP,DF,Roma,Serie A,27,1997,35.3,1969,1669,294,49,3,18,116,233,11,3,8,0,1544,6,25
Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19,2005,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Faustino Anjorin,ENG,MF,Empoli,Serie A,22,2001,12.4,441,418,22,8,2,4,17,1,8,4,2,0,355,1,8
